Film Studio,Network,Digital Channels,Pay TV
DreamWorks,"Nine Network , Network Ten","GO ! , GEM , Eleven , One",Showtime movie channels ( New Films ) / Movie Network ( Old Films )
Fox Searchlight Pictures,Network Ten,"Eleven , One",Showtime movie channels
Lions Gate,Nine Network,"GO ! , GEM",Showtime movie channels
Metro-Goldwyn-Mayer,Seven Network,"ABC2 , 7Two , GO ! , GEM , Eleven",Movie Network
Miramax Films,"Seven Network , Nine Network","7Two , 7mate , GO ! , GEM",Movie Network
MTV Films,"Nine Network , Network Ten","7mate , GO ! , Eleven",Showtime movie channels
New Line Cinemas,Nine Network,"GO ! , GEM",Movie Network
Regency Enterprises,Nine Network,"GO ! , GEM",Showtime movie channels
Summit Entertainment,Network Ten,"Eleven , One",Showtime movie channels
Touchstone Pictures,Seven Network,"7Two , 7mate , GO !",Movie Network
United Artists,Seven Network,"7Two , ABC2 , GO ! , GEM",Movie Network
