Club,Home stadium,Capacity
Becamex Bình Dương,Gò Đậu Stadium,"18,250"
SHB Đà Nẵng,Chi Lăng Stadium,"28,000"
Đồng Nai,Đồng Nai Stadium,"25,000"
Đồng Tâm Long An,Long An Stadium,"19,975"
Vicem Hải Phòng,Lạch Tray Stadium,"28,000"
Hà Nội T & T,Hàng Đẫy Stadium,"22,000"
Hoàng Anh Gia Lai,Pleiku Stadium,"12,000"
Kienlongbank Kiên Giang,Rạch Giá Stadium,"10,000"
Vissai Ninh Bình,Ninh Bình Stadium,"22,000"
Xuân Thành Sài Gòn,Thống Nhất Stadium,"25,000"
Sông Lam Nghệ An,Vinh Stadium,"12,000"
Thanh Hóa,Thanh Hóa Stadium,"14,000"
