Route,Length ( mi ),Length ( km ),From,Via,To
CR 151,5.91,9.51,NY 30,Bulls Head Road in Florida,NY 5S
CR 152,3.85,6.20,NY 5S,Pattersonville Road in Florida,Schenectady County line ( becomes CR 119 )
CR 153,2.49,4.01,CR 145,Sager Road in Florida,CR 146
CR 154,3.14,5.05,NY 30,Sulphur Springs Road in Florida,NY 160
CR 155,0.12,0.19,Amsterdam city line,East Cleveland Avenue in Florida,NY 5S
CR 156,0.33,0.53,NY 5S,Broadway Extension in Florida,Amsterdam city line
CR 157,1.26,2.03,Amsterdam city line,Chapman Drive in Amsterdam,CR 7
CR 159,0.39,0.63,NY 30A,Hughes Road Spur in Charleston,CR 129
CR 160,0.13,0.21,CR 127,Burtonville Road Spur in Charleston,Schenectady County line ( becomes CR 102 )
CR 161,0.07,0.11,CR 151,Old Pattersonville Road in Florida,Local road
CR 162,1.46,2.35,CR 127,North Green Road in Charleston,CR 123 / CR 128
CR 163,0.76,1.22,NY 30,Miami Avenue in Amsterdam,CR 14
CR 164,2.39,3.85,NY 161,Noeltner Road in Glen,NY 5S
CR 165,4.43,7.13,NY 160,Thayer Road in Florida,NY 5S
CR 166,0.09,0.14,NY 161,Noeltner Road Spur in Glen,CR 164
CR 167,0.37,0.60,Queen Ann Street,Sandy Drive in Amsterdam city,End of road
