Name,Nationality,Position,Scarborough career,Appearances,Goals
Ian Ironside,England England,Goalkeeper,1987-1991 1991-1992 1994-1997,183,0
Jason Rockett,England England,Defender,1993-1998,172,11
Steve Richards,England England,Defender,1987-1991,164,13
Allan Kamara,England England,Defender,1987-1991,159,1
Darren Knowles,England England,Defender,1993-1997,144,2
Adrian Meyer,England England,Defender,1989-1995,144,12
Steve Charles,England England,Midfielder,1993-1996,134,20
Steve Brodie,England England,Forward,1996-1999,111,27
Tommy Graham,England England,Midfielder,1987-1990,111,11
Lee Hirst,England England,Midfielder,1989-1993,108,6
Simon Thompson,England England,Midfielder,1991-1995,108,6
Tommy Mooney,England England,Forward,1990-1993,107,30
Gareth Williams,England England,Midfielder,1996-1999,105,27
Darren Foreman,England England,Forward,1990-1995,97,35
Martin Russell,England England,Midfielder,1988-1990,51,9
Chris Short,England England,Defender,1988-1990,43,1
