Monogram,Town,State
A,Alamogordo,New Mexico
A,Aztec,New Mexico
B,Bernalillo,New Mexico
B,Bloomfield,New Mexico
C,Capitan,New Mexico
C,Cimarron,New Mexico
C,Costilla,New Mexico
E,El Rito,New Mexico
E ( uncertain existence ),Espanola,New Mexico
F,Farmington,New Mexico
G,Grants,New Mexico
H,Las Vegas,New Mexico
H,Hondo,New Mexico
KC,Kirtland,New Mexico
LA,Laguna,New Mexico
L,Lordsburg,New Mexico
LA,Los Alamos,New Mexico
LL,Los Lunas,New Mexico
L ( uncertain existence ),Lyden,New Mexico
M,Magdalena,New Mexico
