Year,Title,Role
1941,It Started with Eve,Cigarette girl
1942,You 're Telling Me,Girl
1942,Pardon My Sarong,Ferna
1942,Lucky Jordan,Pearl ( Secretary )
1943,Tornado,Diana Linden
1943,A Scream in the Dark,Joan Allen
1943,Riding High,Bit part
1943,Caribbean Romance,
1944,Standing Room Only,Opal
1944,I Love a Soldier,Gracie
1944,Our Hearts Were Young and Gay,Blonde
1944,Guest in the House,Miriam
1945,Getting Gertie 's Garter,Gertie
1945,It 's a Pleasure,Gale Fletcher
1947,Living in a Big Way,Margo Morgan
1949,Tell It to the Judge,Ginger Simmons
1950,Once a Thief,Flo
1950,Hit Parade of 1951,Michele
1954,The Danny Thomas Show,
1958,The Geisha Boy,Lola Livingston
