Pos,No,Driver,Constructor,Lap,Gap
1,1,Michael Schumacher,Ferrari,1:43.726,-
2,4,Kimi Räikkönen,McLaren - Mercedes,1:44.150,+0.424
3,2,Rubens Barrichello,Ferrari,1:44.335,+0.609
4,5,Ralf Schumacher,Williams - BMW,1:44.348,+0.622
5,6,Juan Pablo Montoya,Williams - BMW,1:44.634,+0.908
6,3,David Coulthard,McLaren - Mercedes,1:44.759,+1.033
7,14,Jarno Trulli,Renault,1:45.386,+1.660
8,16,Eddie Irvine,Jaguar - Cosworth,1:45.865,+2.139
9,24,Mika Salo,Toyota,1:45.880,+2.154
10,15,Jenson Button,Renault,1:45.972,+2.246
11,17,Pedro de la Rosa,Jaguar - Cosworth,1:46.056,+2.330
12,11,Jacques Villeneuve,BAR - Honda,1:46.403,+2.677
13,25,Allan McNish,Toyota,1:46.485,+2.759
14,9,Giancarlo Fisichella,Jordan - Honda,1:46.508,+2.782
15,12,Olivier Panis,BAR - Honda,1:46.553,+2.827
16,10,Takuma Sato,Jordan - Honda,1:46.875,+3.149
17,8,Felipe Massa,Sauber - Petronas,1:46.896,+3.170
18,7,Nick Heidfeld,Sauber - Petronas,1:47.272,+3.546
19,23,Mark Webber,Minardi - Asiatech,1:47.562,+3.836
20,22,Anthony Davidson,Minardi - Asiatech,1:48.170,+4.444
