Year,Name,Club/Nation,Time
1932,Trygve Beisvåg,Norway,4:51.04
1933,Arne Rustadstuen,Norway,4:24.12
1934,Arne Rustadstuen ( 2 ),Norway,5:41.25
1935,Olaf Hoffsbakken,Norway,4:10.35
1936,Oscar Gjøslien,Norway,5:16.05
1937,Gunnar Hansveen,Norway,4:44.45
1938,Olaf Hoffsbakken ( 2 ),Norway,3:56.34
1939,Hallvard Eggset,Norway,4:09.05
1940,Gunnar Hansveen ( 2 ),Norway,4:30.09
1946,Leif Haugen,Norway,3:54.59
1947,Gunnar Hermansen,Norway,4:38.24
1949,Olav Kveberg,Norway,4:13.55
1950,Gunnar Hermansen ( 2 ),Norway,4:28.15
1951,Thorfinn Staff Eid,Norway,4:12.01
1952,Odd Nyborg,Norway,4:17.50
1953,Johs . Woxen,Norway,4:20.25
1954,Johan Østvang,Norway,4:30.18
1955,Oddmund Jensen,Norway,3:57.31
1956,Einar Skaaren,Norway,4:03.33
1957,Oddmund Jensen ( 2 ),Norway,3:48.46
