Electoral district,Member,Party
Arm River,George Adam Scott,Liberal
Bengough,Thomas Evan Gamble,Liberal
Biggar,George Hamilton Harris,Liberal
Cannington,John Duncan Stewart,Liberal
Canora,H.P . Albert Hermanson,Liberal
Cumberland,Deakin Alexander Hall,Liberal
Cut Knife,William Hamilton Dodds,Liberal
Cypress,Isaac Stirling,Liberal
Elrose,Archibald Peter McNab,Liberal
Estevan,George Alexander Bell,Liberal
Francis,Walter George Robinson,Liberal
Hanley,Macbeth Malcolm,Liberal
Happyland,Stephen Morrey,Liberal
Humboldt,William Ferdinand Alphonse Turgeon,Liberal
Île-à-la-Crosse,Joseph Octave Nolin,Liberal
Jack Fish Lake,Donald M. Finlayson,Liberal
Kerrobert,John Albert Dowd,Liberal
Kindersley,William Richard Motherwell,Liberal
Kinistino,John Richard Parish Taylor,Liberal
Last Mountain,Samuel John Latta,Liberal
