Original NFL team,Player,Pos,College,Conf
Boston Patriots,Gino Cappelletti,WR / K,Minnesota,Big Ten
Boston Patriots,Larry Garron,FB,Western Illinois,IIAC
Boston Patriots,Chuck Leo,G,Indiana,Big Ten
Boston Patriots,Ross O'Hanley,S,Boston College,Ind
Boston Patriots,Butch Songin,QB,Boston College,Ind
Buffalo Bills,Elbert Dubenion,WR,Bluffton,Hoosier
Buffalo Bills,Wray Carlton,RB,Duke,ACC
Dallas Texans,Walt Corey,LB,Miami,Ind
Dallas Texans,Clem Daniels,RB / CB,Prairie View A & M,SWAC
Dallas Texans,Sherrill Headrick,LB,TCU,SWC
Dallas Texans,Al Reynolds,G,Tarkio,MCAU
Dallas Texans,Paul Rochester,DT,Michigan State,Big Ten
Dallas Texans,Stewart Stover,LB,Louisiana-Monroe,Gulf States
Dallas Texans,Duane Wood,CB,Oklahoma State,Ind
Denver Broncos,Ken Adamson,TE,Notre Dame,Ind . ( Univ . )
Denver Broncos,Eldon Danenhauer,OT,Pittsburg State,CIAC
Denver Broncos,Gene Mingo,RB / K,,
Houston Oilers,Tony Banfield,S,Oklahoma State,Ind
Houston Oilers,Bill Groman,WR,Heidelberg,OAC
Houston Oilers,Charlie Hennigan,WR,Northwestern State,Gulf States
