US,CAN,Single,Artist
1,1,Addicted,Dan Seals
9,5,Always Late with Your Kisses,Dwight Yoakam
8,-,Americana,Moe Bandy
5,-,"Another Place , Another Time",Don Williams
1,3,Baby Blue,George Strait
2,1,Baby I 'm Yours,Steve Wariner
15,33,The Best I Know How,The Statler Brothers
10,18,Blue Love,The O'Kanes
5,8,Blue to the Bone,Sweethearts of the Rodeo
1,2,The Bluest Eyes in Texas,Restless Heart
10,10,Boogie Woogie Fiddle Country Blues,Charlie Daniels Band
4,4,Button Off My Shirt,Ronnie Milsap
9,12,Chill Factor,Merle Haggard
6,3,Chiseled in Stone,Vern Gosdin
1,1,"Cry , Cry , Cry",Highway 101
4,8,Crying Shame,Michael Johnson
1,1,Darlene,T. Graham Brown
7,5,Desperately,Don Williams
4,13,Do You Believe Me Now,Vern Gosdin
1,1,( Do You Love Me ) Just Say Yes,Highway 101
