Territory,Claimants,Notes
Guayana Esequiba ( Guyana west of the Essequibo River ),Guyana Venezuela,Venezuela and Guyana have overlapping maritime area claims as well . Barbados and Guyana have since signed joint cooperation agreement over this area
Ankoko Island/Isla de Anacoco,Venezuela Guyana,
Arroyo de la Invernada or Rincón de Artigas and Vila Albornoz,Brazil Uruguay,"Dispute in the 237 km ( 92 sq mi ) Invernada River region near Masoller , over which tributary represents the legitimate source of the Quaraí River/Cuareim River ( the UN does not officially recognize the claim )"
"Falkland Islands , South Georgia and the South Sandwich Islands",United Kingdom Argentina,"Including Shag Rocks . See Falkland Islands sovereignty dispute , South Georgia and South Sandwich Islands sovereignty dispute"
French Guiana west of the Marouini River,France Suriname,
Tigri Area east of the Upper Courantyne River,Guyana Suriname,"The Tigri Area ( Dutch : Tigri-gebied ) is a wooded area that has been disputed since around 1840 by Suriname and Guyana . It involves the area between the Upper Corentyne River ( also called New River ) , the Coeroeni River and the Kutari River . This triangular area is in Guyana known as the New River Triangle . In 1969 the conflict ran high on and since then the Tigri Area is controlled by Guyana and claimed by Suriname . In 1971 both governments in Trinidad agreed that they continue talks over the border issue and withdraw their military forces from the disputed Triangle . Guyana has never held upon this agreement"
Isla Brasilera/Ilha Brasileira,Brazil Uruguay,Uruguayan officials claim that the island falls under their Artigas Department ( the UN does not officially recognize the claim )
Isla Suárez/Ilha de Guajará-mirim,Bolivia Brazil,"An island in the river that serves as a border between Bolivia and Brazil , alongside others 80 island not assigned to any country , the island is closer to Bolivia but despite this , is economically dependent of the Brazilian city of Guajará-Mirim , both countries signed in 1958 a treaty that keep the island in a status quo"
Gulf of Venezuela and Los Monjes Archipelago surrounding waters,Colombia Venezuela,Dispute regarding the undefined sea border between both countries
Southern Patagonian Ice Field between Monte Fitz Roy and Cerro Murallón,Argentina Chile,Parts of the border still officially undefined
