Name,Group Level,Improv Type,Location,Date Established
Yours Truly Theatre,Professional,Multiple,"Bangalore , India",2003
Improv Bandits,Professional,Multiple,"Auckland , New Zealand",1997
The Court Jesters,Professional,Multiple,"Christchurch , New Zealand",1989
Wellington Improvisation Troupe,Professional,Multiple,"Wellington , New Zealand",2004
Boom Chicago,Professional,Multiple,"Amsterdam , Netherlands",1993
IGLU Theatre,Professional,Multiple,"Ljubljana , Slovenia",2013
Narobov,Professional,Theatresports,"Ljubljana , Slovenia",2004
Improvvisart,Professional,Multiple,"Lecce , Italy",2009
Tokyo Comedy Store,Professional,Multiple,"Tokyo , Japan",1994
Seoul City Improv,Professional,Multiple,"Seoul , South Korea",2007
