Name,Age,Position,Club
Ross Smith ( c ),29,Rover,St Kilda
Stan Alves,26,Wingman,Melbourne
Kevin Bartlett,25,Rover,Richmond
Peter Bedford,25,Centreman,South Melbourne
Francis Bourke,25,Wingman,Richmond
David Clarke,19,Half forward flanker,Geelong
Barry Davis,28,Half back flanker,Essendon
Gary Dempsey,23,Ruckman,Footscray
Keith Greig,20,Wingman,North Melbourne
Gary Hardeman,22,Centre half back,Melbourne
Alex Jesaulenko,26,Forward,Carlton
Peter Knights,20,Centre half back,Hawthorn
Barry Lawrence,25,Centre half back,St Kilda
Leigh Matthews,20,Rover,Hawthorn
Peter McKenna,26,Full-forward,Collingwood
John Murphy,22,Rover,Fitzroy
John Nicholls,32,Ruckman,Carlton
Alan Noonan,24,Centre half forward,Essendon
Travis Payze,25,Ruck-rover,St Kilda
David Rhodes,24,Wingman,Fitzroy
