Scientific name,Common name,Family,Conservation concern
Caretta caretta,loggerhead sea turtle,Cheloniidae,Highest
Chelonia mydas,green sea turtle,Cheloniidae,Highest
Lepidochelys kempii,Atlantic ridley sea turtle,Cheloniidae,Highest/ U.S . Fish and Wildlife lists as endangered
Chelydra serpentina,common snapping turtle,Chelydridae,Lowest
Macrochelys temminckii,alligator snapping turtle,Chelydridae,Wheeler Wildlife Refuge lists as endangered
Dermochelys coriacea,leatherback sea turtle,Dermochelyidae,Highest/ U.S . Fish and Wildlife lists as endangered
Chrysemys picta picta,eastern painted turtle,Emydidae,Lowest
Chrysemys picta dorsalis,southern painted turtle,Emydidae,Lowest
Chrysemys picta marginata,midland painted turtle,Emydidae,Lowest
Deirochelys reticularia reticularia,eastern chicken turtle,Emydidae,Low
Graptemys barbouri,Barbour 's map turtle,Emydidae,High
Graptemys ernsti,Escambia map turtle,Emydidae,Moderate
Graptemys geographica,northern map turtle,Emydidae,Low
Graptemys nigrinoda delticola,delta map turtle southern black-knobbed sawback,Emydidae,Moderate
Graptemys nigrinoda nigrinoda,black-knobbed map turtle northern black-knobbed sawback,Emydidae,Moderate
Graptemys ouachitensis,Ouachita map turtle,Emydidae,Lowest
Graptemys pulchra,Alabama map turtle,Emydidae,Moderate
Malaclemys terrapin pileata,Mississippi diamondback terrapin,Emydidae,Highest
Pseudemys alabamensis,Alabama red-bellied cooter ( Designated as official state reptile ),Emydidae,Highest/ U.S . Fish and Wildlife lists as endangered
Pseudemys concinna concinna,eastern river cooter,Emydidae,Lowest
