Year,Artist,Title,Certification,Weeks on chart,Weeks at number one
1975,Pink Floyd,The Dark Side of the Moon,,34,0
1976,ABBA,The Best of ABBA,,45,18
1977,Fleetwood Mac,Rumours,,41,7
1978,Bee Gees and various artists,Saturday Night Fever,,38,15
1979,Supertramp,Breakfast in America,Platinum,35,10
1980,Pink Floyd,The Wall,Platinum,45,9
1981,Dire Straits,Making Movies,Platinum,48,0
1982,Men at Work,Business as Usual,Platinum,45,10
1983,David Bowie,Let 's Dance,Platinum,34,8
1984,Billy Joel,An Innocent Man,Platinum,46,3
1985,Bruce Springsteen,Born in the U.S.A,Platinum,47,14
1986,Dire Straits,Brothers in Arms,Platinum,48,15
1987,U2,The Joshua Tree,Platinum,38,8
1988,Original London cast,Phantom of the Opera,Platinum,48,5
1989,Tracy Chapman,Crossroads,Platinum,9,7
1990,The Carpenters,Their Greatest Hits,Platinum,24,7
1991,Eurythmics,Greatest Hits,-,27,8
1992,Various artists,The Commitments,Platinum,32,1
1993,Eric Clapton,Unplugged,Platinum,50,5
1994,Ace of Base,Happy Nation,Platinum,35,5
