Rank,Athlete,Nationality,Time
1,Paola Pigni,Italy,10:38.4
2,Zofia Kołakowska,Poland,10:39.2
3,Ilja Keizer,Netherlands,10:43.8
4,Anneloes Bosman,Netherlands,10:54.4
5,Berny Lenferink,Netherlands,11:02
6,Nicole Chassagneux,France,11:03.6
7,Anneke de Lange,Netherlands,11:06.4
8,Teresa Testerini,Italy,11:15
9,Carla Joosten,Netherlands,11:15
10,Claudette Brouard,France,11:15
11,Joëlle Audibert,France,11:20
12,Eliane Rieuf,France,11:22
13,Krystyna Sladek,Poland,11:24
14,Josee van Santberghe,Belgium,11:26
15,Liève van den Broeck,Belgium,11:27
16,Zina Boniolo,Italy,11:32
17,Jadwiga Kalinowska,Poland,11:32
18,Françoise Valentini,France,12:14
19,Francine Peyskens,Belgium,12:19
20,Margherita Gargano,Italy,12:21
