Pos,No,Driver,Constructor,Time,Gap
1,38,Juan Manuel Fangio,Alfa Romeo,1:53.2,-
2,34,Nino Farina,Alfa Romeo,1:53.9,+ 0.7
3,2,Alberto Ascari,Ferrari,1:55.1,+ 1.9
4,6,José Froilán González,Ferrari,1:55.9,+ 2.7
5,4,Luigi Villoresi,Ferrari,1:57.9,+ 4.7
6,8,Piero Taruffi,Ferrari,1:58.2,+ 5.0
7,40,Felice Bonetto,Alfa Romeo,1:58.3,+ 5.1
8,30,Reg Parnell,BRM,2:02.2,+ 9.0
9,36,Toulo de Graffenried,Alfa Romeo,2:05.2,+ 12.0
10,32,Ken Richardson,BRM,2:05.6,+ 12.4
11,48,André Simon,Simca-Gordini,2:08.0,+ 14.8
12,50,Maurice Trintignant,Simca-Gordini,2:08.9,+ 15.7
13,46,Robert Manzon,Simca-Gordini,2:09.0,+ 15.8
14,24,Yves Giraud-Cabantous,Talbot-Lago - Talbot,2:09.3,+ 16.1
15,18,Louis Rosier,Talbot-Lago - Talbot,2:10.8,+ 17.6
16,12,Chico Landi,Ferrari,2:11.2,+ 18.0
17,20,Louis Chiron,Talbot-Lago - Talbot,2:12.1,+ 18.9
18,44,Franco Rol,OSCA,2:13.4,+ 20.2
19,16,Peter Whitehead,Ferrari,2:16.2,+ 23.0
20,22,Pierre Levegh,Talbot-Lago - Talbot,2:16.5,+ 23.3
