Name,Traditional Name,Location,Type
Allianz Arena,-,Munich,Football stadium
Audi Sportpark,-,Ingolstadt,Football stadium
HDI-Arena,Niedersachsenstadion,Hanover,Football stadium
Commerzbank-Arena,Waldstadion,Frankfurt,Football stadium
Max-Morlock-Stadion,Frankenstadion,Nürnberg,Football stadium
Esprit Arena,-,Düsseldorf,Football stadium
Volksparkstadion,Volksparkstadion,Hamburg,Football stadium
König Pilsener Arena,Arena Oberhausen,Oberhausen,Multi-purpose indoor arena
Lanxess Arena,Kölnarena,Cologne,Multi-purpose indoor arena
Mercedes-Benz Arena,Neckarstadion,Stuttgart,Football stadium
Porsche Arena,-,Stuttgart,Multi-purpose indoor arena
Red Bull Arena,Zentralstadion,Leipzig,Football stadium
rewirpowerSTADION,Ruhrstadion,Bochum,Football stadium
RheinEnergieStadion,Müngersdorfer Stadion,Cologne,Football stadium
SAP Arena,-,Mannheim,Multi-purpose indoor arena
Saturn Arena,-,Ingolstadt,Multi-purpose indoor arena
Signal Iduna Park,Westfalenstadion,Dortmund,Football stadium
Tamiya Raceway Sonneberg,-,Sonneberg,Radio-controlled car circuit
TUI Arena,-,Hanover,Multi-purpose indoor arena
Veltins-Arena,Arena AufSchalke,Gelsenkirchen,Retractable-roof football stadium with retractable playing surface
