Player,Points,Overall,Singles,Foursomes,Fourballs
Stewart Cink,1.5,1-3-1,1-0-0,0-1-1,0-2-0
Jim Furyk,2.5,2-2-1,0-1-0,1-0-1,1-1-0
Lucas Glover,0.5,0-3-1,0-0-1,0-1-0,0-2-0
Zach Johnson,2,2-3-0,0-1-0,1-1-0,1-1-0
Anthony Kim,3,3-1-0,1-0-0,1-0-0,1-1-0
Justin Leonard,3,2-1-2,0-0-1,1-0-1,1-1-0
Hunter Mahan,2.5,2-1-1,1-0-0,0-1-1,1-0-0
Phil Mickelson,4.5,4-0-1,1-0-0,2-0-0,1-0-1
Sean O'Hair,2.5,2-2-1,1-0-0,1-1-0,0-1-1
Kenny Perry,1,1-3-0,0-1-0,1-1-0,0-1-0
Steve Stricker,4,4-1-0,0-1-0,2-0-0,2-0-0
Tiger Woods,5,5-0-0,1-0-0,2-0-0,2-0-0
