Territory,Former claimants,Dispute started,Dispute settled,Notes
Tiran and Sanafir Islands,Saudi Arabia Egypt,1906,2017,These islands were transferred to Saudi Arabia in 2017
Bay of Bengal Maritime Boundary between Bangladesh and India,India Bangladesh,1974,2014,"India and Bangladesh had engaged in eight rounds of bilateral negotiations starting 1974 but it remained inconclusive until 2009 . In October 2009 , Bangladesh served India with notice of arbitration proceedings under the UNCLOS . The Arbitration Tribunal delivered the ruling on 7 July 2014 and settled the dispute"
"Indo-Bangladesh enclaves , adverse possessions and undemarcated land boundaries",India Bangladesh,1947,2015,"Following Partition of Bengal ( 1947 ) , the issues of adverse possessions , enclaves and unmarked boundary arose . Inside the main part of Bangladesh , there were 111 Indian enclaves ( 17,160.63 acres ) , while inside the main part of India , there were 51 Bangladeshi enclaves ( 7,110.02 acres ) . In 1974 Bangladesh approved a proposed treaty , Land Boundary Agreement , to exchange all enclaves within each other 's territories , but India did not ratify it . Another agreement was agreed upon in 2011 to exchange enclaves and adverse possessions . With respect to adverse possessions , India received 2,777.038 acres of land and transferred 2,267.682 acres to Bangladesh . India ratified the agreement by constitutional amendment in May 2015"
Muhurichar river island,India Bangladesh,1974,2011,"Historically controlled by India but claimed by Bangladesh , disputed from approximately 1974 . An agreement was reached on the demarcation of the border in the area in 2011 , and in 2019 the Indian government confirmed that it no longer had any outstanding boundary dispute with Bangladesh"
South Talpatti/New Moore/Purbasha Island,India Bangladesh,c. 1975,2010,"This former dispute over a small island never more than two meters above sea level was contested from the island 's appearance in the 1970s to its disappearance , likely due to climate change , in the first decade of the 2000s . Though land disputes no longer exist , the maritime boundary was not settled until 2014"
Sakhalin Island,Russian Empire Empire of Japan,1845,1875,"Japan unilaterally proclaimed sovereignty over the whole island in 1845 , but its claims were ignored by the Russian Empire . The 1855 Treaty of Shimoda acknowledged that both Russia and Japan had joint rights of occupation to Sakhalin , without setting a definite territorial demarcation . As the island became settled in the 1860s and 1870s , this ambiguity led to increasing friction between settlers . Attempts by the Tokugawa shogunate to purchase the entire island from the Russian Empire failed , and the new Meiji government was unable to negotiate a partition of the island into separate territories . In 1875 by the Treaty of Saint Petersburg , Japan agreed to give up its claims on Sakhalin in exchange for undisputed ownership of the Kuril Islands . In 1905 under the Treaty of Portsmouth Japan gained Sakhalin to the 60th parallel , but lost it again in 1945"
Pamir Mountains,Tajikistan China,1877,2011,"The Tajik Government ceded 1,158 square kilometres ( 447 sq mi ) to the PRC , while PRC relinquished its 28,000 square miles ( 73,000 km ) claim over the remaining territory with final ratification of a treaty in January 2011"
Palmas Island ( modern-day Miangas Island ),Philippine Islands Dutch East Indies,1906,1928,"Dispute between the United States and the Netherlands over the Palmas island located south of the Philippines , which was then American territory . The Netherlands believed that the islands were part of the Dutch East Indies . The territorial dispute was solved through the Island of Palmas case which decided that the Palmas Island belongs to the Netherlands . Palmas Island , now Miangas Island , is a part of modern Indonesia"
Yalu River ( disputed sovereignty of certain islands ),China North Korea South Korea,1949,2005,"The allocation to North Korea of all of the large islands in the lower Yalu River , including Pidan and Sindo at the mouth , is now clear . The river 's maritime rights remain shared between the two nations"
Shaksgam Valley,Pakistan ( still claimed by : India China ),1947,1963,Pakistan relinquished its claim to PR China ; India did not
Sinai Peninsula,Israel Egypt,1967,1982,During the Six-Day War Israel claimed Sinai . It was returned in 1982 under the terms of the 1979 Egypt-Israel Peace Treaty
Taba,Israel Egypt,1979,1989,"When Egypt and Israel were negotiating the exact position of the border in preparation for the 1979 peace treaty , Israel claimed that Taba had been on the Ottoman side of a border agreed between the Ottomans and British Egypt in 1906 and had , therefore , been in error in its two previous agreements . Although most of Sinai was returned to Egypt in 1982 , Taba was the last portion to be returned . The issue was submitted to an international commission . In 1988 , the commission ruled in Egypt 's favour , and Israel returned Taba to Egypt in 1989"
Turtle Islands,Philippine Islands North Borneo,,1930,"Dispute between the United States and the United Kingdom over the Turtle Islands located south of the Philippines , which was then American territory . In a 1930 treaty the United Kingdom acknowledge American sovereignty over the islands and was agreed upon that the British would remain administering the island until the United States express interest to take over control over the islands after a one-year notice . When the Philippines gained full independence from the United States in 1946 , the Philippines invoked the treaty and the British turned over the islands to the Philippines in 1947"
"West Bank , including East Jerusalem",Israel Jordan,1967,1988,"During the Six-Day War Israel conquered these territories from Jordan . Jordan later renounced the claim on the territory , supporting instead its inclusion in a future Palestine"
Ligitan and Sipadan,Malaysia Indonesia,1969,2002,"The 2002 International Court of Justice ruling awarded both islands to Malaysia , but left unsettled the maritime boundary immediately southwest and west of the islands between Malaysia and Indonesia"
Hawar Islands,Qatar Bahrain,1971,2001,"Formerly disputed between Qatar and Bahrain , it was settled by the International Court of Justice ( ICJ ) in The Hague . In the June 2001 decision , Bahrain kept the Hawar Islands and Qit'at Jaradah but dropped claims to Janan Island and Zubarah on mainland Qatar , while Qatar retained significant maritime areas and their resources . The agreement has furthered the goal of definitively establishing the border with Saudi Arabia and Saudi-led mediation efforts continue"
Pulau Batek / Fatu Sinai ( de ),Indonesia East Timor,2002,2004,Ceded by Timor-Leste to Indonesia in August 2004
Saudi Arabia-Yemen border demarcation dispute,Saudi Arabia Yemen,1934,2000,Settled by the Treaty of Jeddah ( 2000 )
