Season,Winners,Score,Runners-up,Venue,Attendance
1976,Eastern Suburbs,25 - 2,St Helens,Sydney Cricket Ground,"26,865"
1987,Wigan,8 - 2,Manly-Warringah,Central Park,"36,895"
1989,Widnes,30 - 18,Canberra,Old Trafford,"30,786"
1991,Wigan ( 2 ),21 - 4,Penrith,Anfield,"20,152"
1992,Brisbane,22 - 8,Wigan,Central Park,"17,764"
1994,Wigan ( 3 ),20 - 14,Brisbane,QEII Stadium,"54,220"
1997,Brisbane ( 2 ),36 - 12,Hunter Mariners,Mt Smart Stadium,"10,300"
2000,Melbourne,44 - 6,St Helens,DW Stadium,"13,394"
2001,St Helens,20 - 18,Brisbane,Reebok Stadium,"16,041"
2002,Bradford,41 - 26,Newcastle Knights,Kirklees Stadium,"21,113"
2003,Sydney Roosters ( 2 ),38 - 0,St Helens,Reebok Stadium,"19,807"
2004,Bradford ( 2 ),22 - 4,Penrith,Kirklees Stadium,"18,962"
2005,Leeds,39 - 32,Canterbury-Bankstown,Elland Road,"37,028"
2006,Bradford ( 3 ),30 - 10,Wests,Kirklees Stadium,"19,207"
2007,St Helens ( 2 ),18 - 14,Brisbane,Reebok Stadium,"23,207"
2008,Leeds ( 2 ),11 - 4,Melbourne,Elland Road,"33,204"
2009,Manly-Warringah,28 - 20,Leeds,Elland Road,"32,569"
2010,Melbourne,18 - 10,Leeds,Elland Road,"27,697"
2011,St George Illawarra,21 - 15,Wigan,DW Stadium,"24,268"
2012,Leeds ( 3 ),26 - 12,Manly-Warringah,Headingley Stadium,"21,062"
