City,Country,IATA,ICAO,Airport
Alghero,Italy,AHO,LIEA,Alghero-Fertilia Airport
Alicante,Spain,ALC,LEAL,Alicante Airport
Amsterdam,Netherlands,AMS,EHAM,Amsterdam Airport Schiphol
Arad,Romania,ARW,LRAR,Arad International Airport
Athens,Greece,ATH,LGAV,Athens International Airport
Bacău,Romania,BCM,LRBC,George Enescu International Airport
Baia Mare,Romania,BAY,LRBM,Maramureș Airport
Barcelona,Spain,BCN,LEBL,Barcelona-El Prat Airport
Bari,Italy,BRI,LIBD,Bari Karol Wojtyła Airport
Bergamo,Italy,BGY,LIME,Orio al Serio International Airport
Berlin,Germany,SXF,EDDB,Berlin Schönefeld Airport
Berlin,Germany,TXL,EDDT,Berlin Tegel Airport
Birmingham,United Kingdom,BHX,EGBB,Birmingham Airport
Bologna,Italy,BLQ,LIPE,Bologna Guglielmo Marconi Airport
Bordeaux,France,BOD,LFBD,Bordeaux-Mérignac Airport
Brussels,Belgium,BRU,EBBR,Brussels Airport
Bucharest,Romania,BAY,LRBS,Aurel Vlaicu International Airport
Bucharest,Romania,OTP,LROP,Henri Coandă International Airport
Budapest,Hungary,BUD,LHBP,Budapest Ferenc Liszt International Airport
Castellón de la Plana,Spain,CDT,LECH,Castellón-Costa Azahar Airport
