Date,Co-Hosts,Guests/Segments
March 3,Regis Philbin & Kelly Ripa,"David Hyde Pierce , Jason Statham"
March 4,Regis Philbin & Kelly Ripa,"Amy Adams , Ivanka Trump , Michael McDonald"
March 5,Regis Philbin & Kelly Ripa,"Lindsay Price , Steve Carell"
March 6,Regis Philbin & Kelly Ripa,"Tom Colicchio , winner of Project Runway"
March 7,Kelly Ripa & Bryant Gumbel,"Paul Giamatti , Julianna Margulies"
March 10,Regis Philbin & Kelly Ripa,"Jim Carrey , animal expert Peter Gros"
March 11,Regis Philbin & Kelly Ripa,"Alyssa Milano , Skeet Ulrich , John Howe of the U.S. Pizza Team"
March 12,Regis Philbin & Kelly Ripa,"Kate Beckinsale , Parker Posey"
March 13,Kelly Ripa & Anderson Cooper,"Cheryl Hines , Charlize Theron , Cowboy Mouth"
March 24,Regis Philbin & Joy Philbin,"Emily Procter , 11th American Idol Finalist , New York Auto Show Week"
March 25,Regis Philbin & Joy Philbin,"Demi Moore , New York Auto Show Week"
March 26,Regis Philbin & Megan Mullally,"Kate Bosworth , Tom Cavanagh , New York Auto Show Week"
March 27,Regis Philbin & Bernadette Peters,"Four couples from Dancing with the Stars , Celebrity Apprentice finalists , New York Auto Show Week"
March 31,Regis Philbin & Kelly Ripa,"10th American Idol Finalist , winners of Randy Jackson Presents America 's Best Dance Crew , Staff Fitness Challenge Week"
