City served,State,Airport name,Closure,Notes
Alegrete,Rio Grande do Sul,Old Alegrete Airport,1996,Became an urbanized area
Brasília,Federal District,Vera Cruz Airport,1957,Became an urbanized area
Cacoal,Rondônia,Old Cacoal Airport,2009,
Feijó,Acre,Alcimar Leitão Airport,2008,Became an urbanized area
Ibaté,São Paulo,Ibaté Airport,2006,Became an urbanized area
Manaus,Amazonas,Ponta Pelada Airport,1976,Became Manaus Air Force Base
Natal / Parnamirim,Rio Grande do Norte,Augusto Severo International Airport,2014,Became Natal Air Force Base
Palmas,Tocantins,Old Palmas Airport,2001,Became an urbanized area
Parintins,Amazonas,Old Parintins Airport,1980,Became an urbanized area
Porto Velho,Rondônia,Caiari Airport,1969,Became an urbanized area
Porto Ferreira,São Paulo,Porto Ferreira Airport,2006,Became an urbanized area
Rio Branco,Acre,Presidente Médici International Airport,1999,Became an urbanized area
Rio de Janeiro,Rio de Janeiro,Bartolomeu de Gusmão Airport,1942,Became Santa Cruz Air Force Base
Rio de Janeiro,Rio de Janeiro,Campo dos Afonsos Airport,1941,Became Afonsos Air Force Base
Rio de Janeiro,Rio de Janeiro,Manguinhos Airport,1961,Became an urbanized area
Santarém,Pará,Old Santarém Airport,1977,Became an urbanized area
São Carlos,São Paulo,Salgado Filho Airport,2002,Became an urbanized area
