Elector,Title,Elevated,Elevator
Nicola de Romanis,Bishop of Frascati,"December 18 , 1204",Innocent III
Ugolino di Segni,Bishop of Ostia e Velletri,"December 19 , 1198",Innocent III
Guido Papareschi,Bishop of Palestrina,"September 22 , 1190",Clement III
Pelagio Galvani,Bishop of Albano,ca . 1206/1207,Innocent III
Cinzio Cenci,Priest of S. Lorenzo in Lucina,"September 22 , 1190",Clement III
Cencio,Priest of SS . Giovanni e Paolo,"February 20 , 1193",Celestine III
Giovanni Colonna di Carbognano,Deacon of SS . Cosma e Damiano,"May 27 , 1206",Innocent III
Gregorio Gualgano,Priest of S. Anastasia,"May 27 , 1206",Innocent III
Robert Curson,Priest of S. Stefano al Monte Celio,"May 19 , 1212",Innocent III
Peter of Benevento,Priest of S. Lorenzo in Damaso,"May 19 , 1212",Innocent III
"Stefano di Ceccano , O.Cist",Priest of SS . XII Apostoli,"April 13 , 1213",Innocent III
Tommaso da Capua,Priest of S. Sabina,"March 5 , 1216",Innocent III
Guido Pierleone,Deacon of S. Nicola in Carcere Tulliano,"December 18 , 1204",Innocent III
Ottaviano dei conti di Segni,Deacon of SS . Sergio e Bacco,"May 27 , 1206",Innocent III
Gregorio Crescenzi,Deacon of S. Teodoro,"March 5 , 1216",Innocent III
Romano Bonaventura,Deacon of S. Maria in Portico,"March 5 , 1216",Innocent III
Stefano de Normandis dei Conti,Deacon of S. Adriano,"March 5 , 1216",Innocent III
