Year,Winner,Team,Position
1954,Clive Churchill,South Sydney Rabbitohs,Fullback
1955,Jack Rayner,South Sydney Rabbitohs,Second row
1956,Kevin Brown,St George Dragons,Prop
1957,Norm Provan,St George Dragons,Second row
1958,Norm Provan,St George Dragons,Second row
1959,Peter Provan,St George Dragons,Lock
1960,Monty Porter,St George Dragons,Second row
1961,Brian Clay,St George Dragons,Five-eighth
1962,Ian Walsh,St George Dragons,Hooker
1963,Norm Provan,St George Dragons,Second row
1964,Graeme Langlands,St George Dragons,Fullback
1965,Kevin Ryan,St George Dragons,Prop
1966,John Raper,St George Dragons,Lock
1967,Les Johns,Canterbury-Bankstown ( losing team ),Fullback
1968,Eric Simms,South Sydney Rabbitohs,Fullback
1969,Dave Bolton,Balmain Tigers,Five-eighth
1970,Bob Grant,South Sydney Rabbitohs,Halfback
1971,Ron Coote,South Sydney Rabbitohs,Lock
1972,Dennis Ward,Manly-Warringah Sea Eagles,Halfback
1973,Bob Fulton,Manly-Warringah Sea Eagles,Centre
