Medal,Name,Games,Sport,Event
Gold,Football team José Andrade Pedro Arispe Pedro Céa Alfredo Ghierra Andrés Mazali José Nasazzi José Naya Pedro Petrone Ángel Romano Héctor Scarone Humberto Tomasina Antonio Urdinarán Santos Urdinarán José Vidal Alfredo Zibechi Pedro Casella,1924 Paris,Football,Men 's competition
Gold,Football team José Andrade Pedro Arispe Juan Arremón René Borjas Antonio Campolo Adhemar Canavesi Héctor Castro Pedro Céa Lorenzo Fernández Roberto Figueroa Alvaro Gestido Andrés Mazali José Nasazzi Pedro Petrone Juan Piriz Héctor Scarone Santos Urdinarán Peregrino Anselmo,1928 Amsterdam,Football,Men 's competition
Bronze,Guillermo Douglas,1932 Los Angeles,Rowing,Men 's single sculls
Silver,Eduardo Risso,1948 London,Rowing,Men 's single sculls
Bronze,William Jones Juan Rodríguez,1948 London,Rowing,Men 's double sculls
Bronze,Basketball team Martín Acosta y Lara Enrique Baliño Victorio Cieslinskas Héctor Costa Nelson Demarco Héctor García Otero Tabaré Larre Borges Adesio Lombardo Roberto Lovera Sergio Matto Wilfredo Peláez Carlos Roselló,1952 Helsinki,Basketball,Men 's competition
Bronze,Miguel Seijas Juan Rodríguez,1952 Helsinki,Rowing,Men 's double sculls
Bronze,Basketball team Carlos Blixen Ramiro Cortés Héctor Costa Nelson Chelle Nelson Demarco Héctor García Carlos González Sergio Matto Oscar Moglia Raúl Mera Ariel Olascoaga Milton Scaron,1956 Melbourne,Basketball,Men 's competition
Bronze,Washington Rodríguez,1964 Tokyo,Boxing,Men 's bantamweight
Silver,Milton Wynants,2000 Sydney,Cycling,Men 's points race
