Church,Dates,"City , State"
"Bethesda Presbyterian Church ( Aberdeen , North Carolina )",1860 built 1979 NRHP-listed,"Aberdeen , North Carolina"
East Avenue Tabernacle Associated Reformed Presbyterian Church,1914 built 2005 NRHP-listed,"Charlotte , North Carolina"
"First Presbyterian Church ( Charlotte , North Carolina )",1857 built 1982 NRHP-listed,"Charlotte , North Carolina"
Steele Creek Presbyterian Church and Cemetery,1889 built 1991 NRHP-listed,"Charlotte , North Carolina"
Brown Marsh Presbyterian Church,1828 built 1975 NRHP-listed,"Clarkton , North Carolina"
Third Creek Presbyterian Church and Cemetery,1835 built 1983 NRHP-listed,"Cleveland , North Carolina"
Crossnore Presbyterian Church,1924 built 1996 NRHP-listed,"Crossnore , North Carolina"
Mt . Horeb Presbyterian Church and Cemetery,built NRHP-listed,"Elizabethtown , North Carolina"
"First Presbyterian Church ( Fayetteville , North Carolina )",1816 built 1976 NRHP-listed,"Fayetteville , North Carolina"
Griers Presbyterian Church and Cemetery,built NRHP-listed,"Frogsboro , North Carolina"
Franklin Presbyterian Church,built NRHP-listed,"Franklin , North Carolina"
South River Presbyterian Church,built NRHP-listed,"Garland , North Carolina"
"First Presbyterian Church ( Goldsboro , North Carolina )",built NRHP-listed,"Goldsboro , North Carolina"
Buffalo Presbyterian Church,1775 built 2002 NRHP-listed,"Greensboro , North Carolina"
"First Presbyterian Church ( Hickory , North Carolina )",built NRHP-listed,"Hickory , North Carolina"
"First Presbyterian Church ( Highlands , North Carolina )",built NRHP-listed,"Highlands , North Carolina"
Big Rockfish Presbyterian Church,built NRHP-listed,"Hope Mills , North Carolina"
Dorland Memorial Presbyterian Church,built NRHP-listed,"Hot Springs , North Carolina"
"Bethesda Presbyterian Church , Session House and Cemetery",built NRHP-listed,"Houstonville , North Carolina"
"Ebenezer Academy , Bethany Presbyterian Church and Cemetery",built NRHP-listed,"Houstonville , North Carolina"
