State,Star,Constellation,Size ( 1=largest ),State made,Star added
Amazonas,Alpha Canis Minoris ( Procyon ),"Canis Minor , the Little Dog",1,1889,1889
Mato Grosso,Alpha Canis Majoris ( Sirius ),"Canis Major , the Great Dog",1,1889,1889
Amapá,Beta Canis Majoris ( Mirzam ),"Canis Major , the Great Dog",2,1991,1992
Rondônia,Gamma Canis Majoris ( Muliphen ),"Canis Major , the Great Dog",4,1982,1992
Roraima,Delta Canis Majoris ( Wezen ),"Canis Major , the Great Dog",2,1991,1992
Tocantins,Epsilon Canis Majoris ( Adhara ),"Canis Major , the Great Dog",3,1989,1992
Pará,Alpha Virginis ( Spica ),"Virgo , the Virgin",1,1889,1889
Piauí,Alpha Scorpii ( Antares ),"Scorpius , the Scorpion",1,1889,1889
Maranhão,Beta Scorpii ( Graffias ),"Scorpius , the Scorpion",3,1889,1889
Ceará,Epsilon Scorpii ( Larawag ),"Scorpius , the Scorpion",2,1889,1889
Alagoas,Theta Scorpii ( Sargas ),"Scorpius , the Scorpion",2,1889,1889
Sergipe,Iota Scorpii,"Scorpius , the Scorpion",3,1889,1889
Paraíba,Kappa Scorpii,"Scorpius , the Scorpion",3,1889,1889
Rio Grande do Norte,Lambda Scorpii ( Shaula ),"Scorpius , the Scorpion",2,1889,1889
Pernambuco,Mu Scorpii ( Xamidimura & Pipirima ),"Scorpius , the Scorpion",3,1889,1889
Mato Grosso do Sul,Alpha Hydrae ( Alphard ),"Hydra , the Water Serpent",2,1979,1960
Acre,Gamma Hydrae,"Hydra , the Water Serpent",3,1962,1968
São Paulo,Alpha Crucis ( Acrux or Estrela de Magalhães ),"Crux , the Southern Cross",1,1889,1889
Rio de Janeiro,Beta Crucis ( Mimosa ),"Crux , the Southern Cross",2,1889,1889
Bahia,Gamma Crucis ( Gacrux ),"Crux , the Southern Cross",2,1889,1889
