Year,Title,Role
1921,The Devil,Dr. Muller
1921,Disraeli,Benjamin Disraeli
1922,The Man Who Played God,Montgomery Royle
1922,The Ruling Passion,James Alden
1922,The Starland Review,Himself
1923,The Green Goddess,Rajah of Rukh
1924,Twenty Dollars a Week,John Reeves
1929,Disraeli,Benjamin Disraeli
1930,The Green Goddess,Raja of Rukh
1930,Old English,Sylvanus Heythorp
1931,Alexander Hamilton,Alexander Hamilton
1931,The Millionaire,James Alden
1932,A Successful Calamity,Henry Wilton
1932,The Man Who Played God,Montgomery Royle
1933,Voltaire,Voltaire
1933,The Working Man,John Reeves
1933,The King 's Vacation,"Phillip , the King"
1934,The Iron Duke,Duke of Wellington
1934,The Last Gentleman,Cabot Barr
1934,The House of Rothschild,Mayer Rothschild / Nathan Rothschild
