Institution,Location,Nickname,Primary Conference,Division
United States Air Force Academy,"Colorado Springs , Colorado",Falcons,Mountain West,NCAA D-I
University of Alaska Anchorage,"Anchorage , Alaska",Seawolves,Great Northwest,NCAA D-II
University of Arizona,"Tucson , Arizona",Wildcats,Pac-12,NCAA D-I
Arizona State University,"Tempe , Arizona",Sun Devils,Pac-12,NCAA D-I
Austin College,"Sherman , Texas",Kangaroos,Southern CAC,NCAA D-III
Brigham Young University,"Provo , Utah",Cougars,West Coast,NCAA D-I
California Polytechnic State University,"San Luis Obispo , California",Mustangs,Big West,NCAA D-I
"California State University , Fresno","Fresno , California",Bulldogs,Mountain West,NCAA D-I
"California State University , Fullerton","Fullerton , California",Titans,Big West,NCAA D-I
"California State University , Long Beach","Long Beach , California",49ers,Big West,NCAA D-I
"California State University , Northridge","Northridge , California",Matadors,Big West,NCAA D-I
"California State University , Sacramento","Sacramento , California",Hornets,Big Sky,NCAA D-I
"University of California , Berkeley","Berkeley , California",Golden Bears,Pac-12,NCAA D-I
"University of California , Davis","Davis , California",Aggies,Big West,NCAA D-I
"University of California , Irvine","Irvine , California",Anteaters,Big West,NCAA D-I
"University of California , Los Angeles","Los Angeles , California",Bruins,Pac-12,NCAA D-I
"University of California , Riverside","Riverside , California",Highlanders,Big West,NCAA D-I
"University of California , San Diego","La Jolla , California",Tritons,California CAA ( Big West in 2020 ),NCAA D-II ( D-I in 2020 )
"University of California , Santa Barbara","Santa Barbara , California",Gauchos,Big West,NCAA D-I
University of Colorado Boulder,"Boulder , Colorado",Buffaloes,Pac-12,NCAA D-I
