Name of island group,Ocean,Claimed by
Antipodes Islands,Pacific Ocean,New Zealand
Auckland Islands,Pacific Ocean,New Zealand
Bounty Islands,Pacific Ocean,New Zealand
Bouvet Island ( Bouvetøya ),Atlantic Ocean,Norway
Campbell Island group,Pacific Ocean,New Zealand
Crozet Islands ( French : Îles Crozet or officially Archipel Crozet ),Indian Ocean,France
Heard Island and McDonald Islands ( HIMI ),Indian Ocean,Australia
Kerguelen Islands,Indian Ocean,France
Macquarie Island,Pacific Ocean,Australia
Prince Edward Islands,Indian Ocean,South Africa
South Georgia Group,Atlantic Ocean,United Kingdom
South Sandwich Islands,Atlantic Ocean,United Kingdom
Snares Islands,Pacific Ocean,New Zealand
