Member,Electoral district,Party
Alexander Murray,Assiniboia,Conservative
Joseph Woodworth,Brandon,Conservative
Edward Leacock,Birtle,Conservative
Edward Fairbanks,Baie St. Paul,Conservative
Isaiah Mawhinney,Burnside,Conservative
Joseph Lecomte,Cartier,Conservative
John Andrew Davidson,Dauphin,Conservative
David H. Wilson,Dufferin North,Conservative
William Winram,Dufferin South,Liberal
Frederick Ernest Burnham,Emerson,Liberal
William Crawford,High Bluff and Poplar Point,Conservative
Alexander Sutherland,Kildonan and St. Paul,Conservative
Maxime Goulet,La Verendrye,Conservative
David Howard Harrison,Minnedosa,Conservative
Henry Tennant,Morris,Conservative
Thomas Greenway,Mountain,Liberal
Charles Hay,Norfolk,Liberal
Joseph Martin,Portage la Prairie,Liberal
Samuel Jacob Jackson,Rockwood,Liberal
James Andrews Miller,Rat Portage,Conservative
