Date,Sport,Venue/Event,Status,Winner/s
12 Oct. 2013-11,Rugby sevens,/ / / / / / / / 2013-14 IRB Sevens World Series,International,New Zealand
28 Nov. 2013-17,Rugby sevens,/ / / / 2013-14 IRB Women 's Sevens World Series,International,New Zealand
2,Rugby league,2014 Anzac Test,International,Australia
3,Rugby league,2014 Pacific Rugby League International,International,Samoa
3,Horse racing,2014 Kentucky Derby,Domestic,California Chrome ( jockey : Victor Espinoza ; trainer : Art Sherman )
3-11,Tennis,2014 Mutua Madrid Open,International,Men : Rafael Nadal Women : Maria Sharapova
3-28 September,Motorsport,2014 FIA European Rallycross Championship season,Continental,SuperCars winner : Robin Larsson Super1600s winner : Sergej Zagumennov TouringCars winner : Daniel Lundh
3-2 November,Motorsport,2014 International GT Open season,Continental,Main and Super GT winners : Roman Mavlanov / Daniel Zampieri GTS winner : Giorgio Roda Team Super GT winner : V8 racing Team GTS winners : AF Corse Manufacturer 's Cup ( GT ) winner : Chevrolet Manufacturer 's Cup ( GTS ) winner : Ferrari Gentleman 's Cup winner : Claudio Sdanewitsch
3-29 November,Motorsport,/ / 2014 FIA World Rallycross Championship season,International,Overall winner : Petter Solberg Team winners : Ford Olsberg MSE
4,Motorcycle racing,2014 Spanish motorcycle Grand Prix,International,MotoGP : Marc Márquez ( Repsol Honda ) Moto2 : Mika Kallio ( Marc VDS Racing Team ) Moto3 : Romano Fenati ( KTM )
4,WTCC,2014 FIA WTCC Race of Hungary,International,Yvan Muller ( Citroën ) Gianni Morbidelli ( Chevrolet )
4,Road running,Wings for Life World Run 2014,International,Lemawork Ketema Elise Selvikvåg Molvik
5-10,Volleyball,2014 FIVB Volleyball Men 's Club World Championship,International,Belogorie Belgorod
7-11,Volleyball,2014 FIVB Volleyball Women 's Club World Championship,International,Dynamo Kazan
8-10,American football,2014 NFL Draft,Domestic,"# 1 pick : Jadeveon Clowney , University of South Carolina ( Houston Texans )"
9,Athletics,Doha Diamond League,International,Kenya
9-21,Association football,2014 UEFA European Under-17 Championship,Continental,England
9-25,Ice hockey,2014 IIHF World Championship,International,Russia
9-1 June,Road cycling,2014 Giro d'Italia,International,Nairo Quintana ( Movistar Team )
9-5 October,Motorsport,2014 FIA International Hill Climb Cup season,Continental,Category I winner : Nikolay Zlatkov Category II winner : Vaclav Janik
