Club,Home city,2010 result
Americana,Americana,3rd ( Série A2 )
Botafogo-SP,Ribeirão Preto,7th
Bragantino,Bragança Paulista,16th
Corinthians,São Paulo,5th
Grêmio Prudente,Presidente Prudente,3rd
Ituano,Itu,13th
Linense,Lins,1st ( Série A2 )
Mirassol,Mirassol,14th
Mogi Mirim,Mogi Mirim,12th
Noroeste,Bauru,2nd ( Série A2 )
Oeste,Itápolis,9th
Palmeiras,São Paulo,11th
Paulista,Jundiaí,15th
Ponte Preta,Campinas,10th
Portuguesa,São Paulo,6th
Santo André,Santo André,2nd
Santos,Santos,1st
São Bernardo,São Bernardo do Campo,4th ( Série A2 )
São Caetano,São Caetano do Sul,8th
São Paulo,São Paulo,4th
