Player,Position,Number,Team,MLB Organization
Daniel Bard,P,,St. Lucie Mets,New York Mets
Colin Bates,P,36,Harrisburg Senators,Washington Nationals
A.J . Bogucki,P,28,Hagerstown Suns,Washington Nationals
Skye Bolt,CF,13,Stockton Ports,Oakland A 's
Taylore Cherry,P,39,Winston-Salem Dash,Chicago White Sox
Joe Dudek,1B,26,Lexington Legends,Kansas City Royals
Kent Emanuel,P,35,Fresno Grizzlies,Houston Astros
Tim Federowicz,C,18,Sacramento River Cats,San Francisco Giants
Zac Gallen,P,3,Springfield Cardinals,St. Louis Cardinals
Reilly Hovis,P,41,Greensboro Grasshoppers,Miami Marlins
Trevor Kelley,P,35,Portland Sea Dogs,Boston Red Sox
Mason McCullough,P,44,Jackson Generals,Arizona Diamondbacks
Levi Michael,2B,9,Chattanooga Lookouts,Minnesota Twins
Brian Moran,P,25,Tulsa Drillers,Los Angeles Dodgers
Benton Moss,P,30,Montgomery Biscuits,Tampa Bay Rays
R.C . Orlan,P,26,Potomac Nationals,Washington Nationals
Tyler Ramirez,RF,33,Midland RockHounds,Oakland A 's
Zach Rice,P,45,Danville Braves,Atlanta Braves
Michael Russell,SS,12,Montgomery Biscuits,Tampa Bay Rays
Ryder Ryan,P,15,Lake County Captains,Cleveland Indians
