Location,State,Base name
Belém,Pará,Val de Cães Naval Base
Natal,Rio Grande do Norte,Almte . Ary Parreiras Naval Base
Natal,Rio Grande do Norte,Natal Naval Base
Ladário,Mato Grosso do Sul,Ladário Fluvial Base
Manaus,Amazonas,Rio Negro Naval Station
Rio Grande,Rio Grande do Sul,Rio Grande Naval Station
Rio de Janeiro,Rio de Janeiro,Almte . Castro e Silva Naval Base
Rio de Janeiro,Rio de Janeiro,Ilha das Flores Naval Infantry Base
Rio de Janeiro,Rio de Janeiro,Ilha do Governador Naval Infantry Base
Rio de Janeiro,Rio de Janeiro,Rio Meriti Naval Infantry Base
Rio de Janeiro,Rio de Janeiro,Navy Arsenal of Rio de Janeiro
Rio de Janeiro,Rio de Janeiro,Rio de Janeiro Naval Base
Salvador da Bahia,Bahia,Aratu Naval Base
