Year,Title,Role
1989,Signs of Life,Charlotte
1989,Longtime Companion,Lisa
1991,Fried Green Tomatoes,Ruth Jamison
1991,Grand Canyon,Dee
1993,Mr . Wonderful,Rita
1993,Naked in New York,Joanne White
1994,Bullets over Broadway,Ellen
1994,The Client,Dianne Sway
1995,Reckless,Pooty
1995,Boys on the Side,Robin Nickerson
1996,The Portrait of a Lady,Henrietta Stackpole
1997,Murder in Mind,Caroline Walker
1997,The Maker,Officer Emily Peck
1998,Goodbye Lover,Peggy Blane
1999,Let the Devil Wear Black,Julia Hirsch
1999,The Five Senses,Rona
2002,Red Dragon,Molly Graham
2002,The Quality of Mercy,Sarah Richardson
2002,Pipe Dream,Toni Edelman
2004,Saved !,Lillian Cummings
