Name,Picture,Alternative name,Origin,Purpose
Acıpayam,-- -,-- -,Turkey,"Meat , wool"
Adal,-- -,-- -,Ethiopia,Meat
Africana,-- -,"Camura , Colombian Wooless , Pelona , Red African , Rojo Africana , West African",Colombia,Meat
Afrikaner,-- -,Cape fat tail,South Africa,"Meat , pelts honed"
Afrino,-- -,-- -,South Africa,"Meat , wool , crossbreeding"
Alai,-- -,-- -,Kyrgyzstan,"Meat , wool"
Alcarreña,-- -,-- -,Spain,Meat
Algarve Churro,-- -,-- -,Portugal,Meat
Alpines Steinschaf,,-- -,Germany,"Meat , wool , vegetation management"
Altay,-- -,-- -,China,Meat
American Blackbelly,-- -,-- -,United States,Trophy hunting
Ancon,-- -,Otter sheep,United States,-- -
Appenninica,,"Appenninica , Bariscianese , Chietina Varzese , Perugina del piano",Italy,Meat
Arabi,-- -,-- -,"Iran , Iraq",Meat
Arkhar-Merino,-- -,-- -,Kazakhstan,Wool
Afghan Arabi,-- -,-- -,Afghanistan,Meat
Algerian sheep,-- -,"Ouled Jellal , Western Thin-tailed",Algeria,Meat
Arapawa,,-- -,New Zealand,Wool
Armenian Semicoarsewool,-- -,Armyanskaya Polugrubosherstnaya,Armenia,"Meat , milk"
Askanian,,Askaniysky,Ukraine,Wool
