Cathedral,Archdiocese or Diocese,Location,Dedication,Notes
Banská Bystrica Cathedral Katedrála svätého Františka Xaverského,Banská Bystrica,Banská Bystrica,St. Francis Xavier,cathedral
Bratislava Cathedral Katedrála svätého Martina,Bratislava,Bratislava,Saint Martin,cathedral since March 2008
Košice Cathedral Dóm svätej Alžbety,Košice,Košice,Saint Elisabeth,"biggest church in Slovakia , easternmost gothic cathedral in Europe"
Nitra Cathedral Bazilika svätého Emeráma,Nitra,Nitra,Saint Emmeram,"cathedral , minor bazilica"
Rožňava Cathedral Katedrála Nanebovzatia Panny Márie,Rožňava,Rožňava,Assumption of Mary,cathedral
Spišská Kapitula Cathedral Katedrála svätého Martina,Spiš,Spišská Kapitula,Saint Martin,"cathedral , World Heritage Site"
Trnava Cathedral Katedrála svätého Jána Krstiteľa,Trnava,Trnava,St. John the Baptist,cathedral
Žilina Cathedral Katedrála Najsvätejšej Trojice,Žilina,Žilina,Holy Trinity,cathedral since 2008
Military Ordinariate Cathedral Katedrála svätého Šebastiána v Bratislave - Krasňanoch,Military Ordinariate,Bratislava,Saint Sebastian,cathedral since 2009
Co-Cathedral of Our Lady of Sorrows Konkatedrála Sedembolestnej Panny Márie,Spiš,Poprad,Our Lady of Sorrows,
Co-Cathedral of St. Nicholas Konkatedrála svätého Mikuláša,Košice,Prešov,Saint Nicholas,
