Rank,MSA,Region,Chinese-Americans,Percentage
1,New York-Newark-Jersey City,Mid-Atlantic,"739,144",3.7
2,Los Angeles-Long Beach-Anaheim,Pacific,"528,248",4.0
3,San Francisco-Oakland-Hayward,Pacific,"460,252",10.2
4,San Jose-Sunnyvale-Santa Clara,Pacific,"169,026",8.8
5,Boston-Cambridge-Newton,New England,"133,241",2.8
6,Chicago-Naperville-Elgin,East North Central,"109,046",1.1
7,Washington-Arlington-Alexandria,South Atlantic,"105,462",1.8
8,Seattle-Tacoma-Bellevue,Pacific,"98,949",2.7
9,Houston-The Woodlands-Sugar Land,West South Central,"86,246",1.4
10,Philadelphia-Camden-Wilmington,Mid-Atlantic,"82,487",1.4
11,Sacramento-Roseville-Arden-Arcade,Pacific,"61,203",2.8
12,Dallas-Fort Worth-Arlington,West South Central,"57,325",0.8
13,San Diego-Carlsbad,Pacific,"56,751",1.8
14,Urban Honolulu,Pacific,"53,119",5.4
15,Riverside-San Bernardino-Ontario,Pacific,"51,628",1.2
16,Atlanta-Sandy Springs-Roswell,South Atlantic,"46,859",0.8
17,Miami-Fort Lauderdale-West Palm Beach,South Atlantic,"34,210",0.6
18,Portland-Vancouver-Hillsboro,Pacific,"31,533",1.4
19,Las Vegas-Henderson-Paradise,Mountain,"30,329",1.5
20,Phoenix-Mesa-Scottsdale,Mountain,"28,550",0.6
