Company,Location,Comments
Airbus Defence and Space,Europe ( France / Germany / Spain / United Kingdom ),formerly Astrium
OHB SE,Europe ( Germany / Italy / Luxembourg / Sweden / France / Belgium ),
"Boeing Defense , Space & Security",United States,formerly Boeing Integrated Defense Systems
INVAP,Argentina,INVAP is developing new satellites ARSAT-3 SAOCOM SABIA-Mar
JSC Information Satellite Systems,Russia,formerly NPO PM
Lockheed Martin,United States,
Northrop Grumman,United States,formerly Orbital ATK
Raytheon,United States,One of worlds largest space sensor providers
Space Systems/Loral,United States,"formerly Space Systems/Loral , LLC"
Thales Alenia Space,Europe ( France / Italy / United Kingdom / Spain / Belgium / Germany / Poland ),formerly Alcatel Alenia Space
