Date,Sport,Venue/Event,Status,Winner/s
4 Sept. 2013-4,Ice hockey,/ / / / / / / 2013-14 KHL season,Regional,Continental Cup winner : Dynamo Moscow Top Scorer : Sergei Mozyakin
1,Bandy,United States Bandy Final ( Gunnar Cup ),Domestic,Minneapolis Bandolier
1,Ice hockey,2014 NHL Stadium Series # 4 ( final ) in Chicago,Domestic,Chicago Blackhawks
1-7 December,Motorsport,/ 2014 International V8 Supercars Championship,Regional,Overall driver winner : Jamie Whincup ( Red Bull Racing Australia ) Pirtek Endurance Cup winners : Jamie Whincup / Paul Dumbrell Team winners : Triple Eight Race Engineering
2,Ice hockey,2014 Heritage Classic ( NHL ),Domestic,Ottawa Senators
3-16,Tennis,2014 BNP Paribas Open,International,Men : Novak Djokovic Women : Flavia Pennetta
6-9,Motorsport,2014 Rally México,International,Sebastien Ogier ( Volkswagen ) Julien Ingrassia
7-9,Athletics,2014 IAAF World Indoor Championships,International,United States
7-9,Speed skating,2013-14 ISU Speed Skating World Cup - World Cup 5,International,Netherlands
7-16,Multi-sport,2014 Winter Paralympics,International,Russia
7-18,Multi-sport,2014 South American Games,Regional,Brazil ( gold and overall medals )
7-6 April,Ice hockey,/ / 2014 KHL Nadezhda Cup,Regional,Avangard Omsk
7-30 April,Ice hockey,/ / / / / 2014 KHL Gagarin Cup,Regional,Metallurg Magnitogorsk
8-26 October,Association football,/ 2014 Major League Soccer season,Regional,Supporters ' Shield winner : Seattle Sounders FC
9-16,Cycling,2014 Paris-Nice,International,Carlos Betancur ( Ag2r-La Mondiale )
10-16,Figure skating,2014 World Junior Figure Skating Championships,International,Men : Nam Nguyen Ladies ' : Elena Radionova Pairs : Yu Xiaoyu / Jin Yang Ice dance : Kaitlin Hawayek / Jean-Luc Baker
10-16,Snooker,2014 World Open,International,Shaun Murphy
12-18,Cycling,2014 Tirreno-Adriatico,International,Alberto Contador ( Team Tinkoff-Saxo )
14-16,Speed skating,2013-14 ISU Speed Skating World Cup - World Cup 6,International,Netherlands
14-16,Ski flying,FIS Ski-Flying World Championships 2014,International,Severin Freund
