Date,Meet,Stadium,City,Country
11 May,Qatar Athletic Super Grand Prix,Qatar SC Stadium,Doha,Qatar
19 May,Shanghai Golden Grand Prix,Shanghai Stadium,Shanghai,China
31 May,Golden Gala,Stadio Olimpico,Rome,Italy
2 June,Prefontaine Classic,Hayward Field,Eugene,United States
7 June,Bislett Games,Bislett Stadion,Oslo,Norway
9 June,Adidas Grand Prix,Icahn Stadium,New York City,United States
6 July,Meeting Areva,Stade de France,Saint-Denis,France
13-14 July,London Grand Prix,Crystal Palace National Sports Centre,London,United Kingdom
20 July,Herculis,Stade Louis II,Fontvieille,Monaco
17 August,DN Galan,Stockholm Olympic Stadium,Stockholm,Sweden
23 August,Athletissima,Stade Olympique de la Pontaise,Lausanne,Switzerland
26 August,Aviva British Grand Prix,Alexander Stadium,Birmingham,United Kingdom
30 August,Weltklasse Zürich,Letzigrund,Zürich,Suitzerland
7 September,Memorial van Damme,King Baudouin Stadium,Brussels,Belgium
