Season,Champions,Runners-up,Third place,Top scorer,Goals
1994,Central Sport,Tulevik,Nõmme Chickens,,
1994-95,Pärnu,Central Jõmm,Tulevik,,
1995-96,Central Sport ( 2 ),Pärnu,Tulevik,,
1996-97,Central Sport ( 3 ),Pärnu,TKSK Arsenal,Anastassia Morkovkina ( Narvane / TKSK Arsenal ),13
1997-98,TKSK Arsenal,Pärnu,Wiiking,Anastassia Morkovkina ( TKSK Arsenal ),47
1998,TKSK Arsenal ( 2 ),Pärnu,Flora,Anastassia Morkovkina ( TKSK Arsenal ),29
1999,TKSK ( 3 ),Pärnu,Flora,Andra Karpin ( Pärnu ),31
2000,TKSK ( 4 ),Pärnu,Flora,Anastassia Morkovkina ( Pärnu ),28
2001,TKSK Visa ( 5 ),Eesti Näitused,Pärnu,,
2002,TKSK Visa ( 6 ),Pärnu,Estel,Ave Pajo ( Estel ),33
2003,Pärnu ( 2 ),TKSK Visa,Estel,Anastassia Morkovkina ( Pärnu ),46
2004,Pärnu ( 3 ),TKSK Visa,Ajax TLMK,Anastassia Morkovkina ( Pärnu ),58
2005,Pärnu ( 4 ),TKSK Visa,Tallinna Kalev,Anastassia Morkovkina ( Pärnu ),63
2006,Pärnu ( 5 ),Levadia,Tallinna Kalev,Anastassia Morkovkina ( Pärnu ),61
2007,Levadia ( 7 ),Pärnu,Flora,Katrin Loo ( Flora ),30
2008,Levadia ( 8 ),Pärnu,Flora,Ave Pajo ( Tallinna Kalev ),47
2009,Levadia ( 9 ),Flora,Pärnu,Ave Pajo ( Levadia ),59
2010,Pärnu ( 6 ),Flora,Levadia,Ave Pajo ( Levadia ),33
2011,Pärnu ( 7 ),Flora,Levadia,Anastassia Morkovkina ( Pärnu ),36
2012,Pärnu ( 8 ),Flora,Levadia,Anastassia Morkovkina ( Pärnu ),37
