Program,Subscription network,Free-to-air network,Date
Around the World in 80 Gardens Around the World in 80 Gardens,BBC Knowledge,ABC1,5 January
"Top Dogs : Adventures In War , Sea and Ice Top Dogs : Adventures In War , Sea and Ice",BBC Knowledge,SBS One,6 January
Casper 's Scare School Casper 's Scare School,Cartoon Network,ABC1,25 January
Moving Wallpaper,UKTV,ABC2,29 January
Echo Beach Echo Beach,UKTV,ABC2,29 January
Ashes to Ashes Ashes to Ashes,UKTV,ABC1,10 February
World 's Strictest Parents,The LifeStyle Channel,Seven Network,16 February
Mistresses,UK.TV,Seven Network,25 February
In Plain Sight,13th Street,Network Ten,12 March
Stanley Kubrick 's Boxes Stanley Kubrick 's Boxes,Bio,ABC2,16 March
Big Love Big Love,showcase,SBS One,25 March
Eli Stone Eli Stone,Arena,Seven Network,5 May
Life Life,13th Street,Network Ten,7 May
George Gently,UKTV,ABC1,16 May
Dirty Sexy Money Dirty Sexy Money,Universal Channel,Seven Network,6 July
Keeping Up With The Kardashians Keeping Up with the Kardashians,E !,Seven Network,10 August
Lilies Lilies,BBC Knowledge,ABC1,Still to debut
