Team,Stadium,Home Games,Average Attendance,Total Attendance,Capacity Percentage
Dallas Cowboys,Cowboys Stadium,8,"88,531","708,249",110.7%
New York Giants,MetLife Stadium,8,"80,495","643,964",97.6%
Washington Redskins,FedExField,8,"79,654","637,236",96.9%
New York Jets,MetLife Stadium,8,"79,088","632,704",95.9%
Denver Broncos,Sports Authority Field at Mile High,8,"76,632","613,062",100.7%
Carolina Panthers,Bank of America Stadium,8,"73,293","586,347",99.3%
New Orleans Saints,Mercedes-Benz Superdome,8,"72,888","583,107",99.9%
Houston Texans,Reliant Stadium,8,"71,665","573,321",100.9%
Baltimore Ravens,M & T Bank Stadium,8,"71,278","570,229",100.4%
Green Bay Packers,Lambeau Field,8,"70,507","564,062",96.7%
Atlanta Falcons,Georgia Dome,8,"70,096","560,773",98.4%
San Francisco 49ers,Candlestick Park,8,"69,732","557,856",99.3%
Philadelphia Eagles,Lincoln Financial Field,8,"69,144","553,152",102.3%
Tennessee Titans,LP Field,8,"69,143","553,144",100.0%
New England Patriots,Gillette Stadium,8,"68,755","550,044",100.0%
Kansas City Chiefs,Arrowhead Stadium,8,"68,508","548,070",89.3%
Seattle Seahawks,CenturyLink Field,8,"67,446","543,570",101.4%
Cleveland Browns,Cleveland Browns Stadium,8,"66,632","533,058",91.0%
Indianapolis Colts,Lucas Oil Stadium,8,"65,189","521,518",103.5%
Jacksonville Jaguars,EverBank Field,8,"64,984","519,872",96.8%
