Title,Publisher,Release Date,Language
Donkey Kong,Nintendo,"April 26 , 2008",English
Kekkyoku Nankyoku Daibouken,Konami,"April 26 , 2008",Japanese
Kirby 's Adventure,Nintendo,"April 26 , 2008",English
Super Mario Bros,Nintendo,"April 26 , 2008",Japanese
Downtown Nekketsu Monogatari,Windysoft,"May 26 , 2008",Japanese
Super Mario Bros. 3,Nintendo,"May 26 , 2008",Japanese
Bubble Bobble,Taito,"June 10 , 2008",English
Galaga,Bandai Namco,"July 15 , 2008",English
Super Mario USA,Nintendo,"July 15 , 2008",Japanese
Xevious,Bandai Namco,"July 29 , 2008",English
Yoshi,Nintendo,"August 12 , 2008",English
NES Open Tournament Golf,Nintendo,"August 26 , 2008",English
Pac-Man,Bandai Namco,"August 26 , 2008",English
Hudson 's Adventure Island,Hudson Soft,"September 16 , 2008",English
Urban Champion,Nintendo,"September 30 , 2008",English
Downtown Nekketsu Kōshinkyoku : Soreyuke Daiundōkai,Windysoft,"October 14 , 2008",Japanese
Kid Icarus,Nintendo,"October 28 , 2008",English
Yoshi 's Cookie,Nintendo,"November 11 , 2008",English
Mario Bros,Nintendo,"December 30 , 2008",Japanese
Nekketsu Kōkō Dodgeball Bu : Soccer Hen,Windysoft,"January 28 , 2009",Japanese
