District,Representative,Party,Residence,First Elected,Term Limited
1,Ron Amstutz,Republican,Wooster,2008,2016
2,Mark Romanchuk,Republican,Mansfield,2012,2020
3,Tim Brown,Republican,Bowling Green,2012,2020
4,Matt Huffman,Republican,Lima,2006,2014
5,Nick Barborak,Democratic,Lisbon,2012,2020
6,Marlene Anielski,Republican,Walton Hills,2010,2018
7,Mike Dovilla,Republican,Berea,2010,2018
8,Armond Budish,Democratic,Beachwood,2006,2014
9,Barbara Boyd,Democratic,Cleveland Heights,2006,2014
10,Bill Patmon,Democratic,Cleveland,2010,2018
11,Sandra Williams,Democratic,Cleveland,2006,2014
12,"John E. Barnes , Jr",Democratic,Cleveland,2010,2018
13,Nickie Antonio,Democratic,Lakewood,2010,2018
14,Michael Foley,Democratic,Cleveland,2006 ( Appt . ),2014
15,Nicholas J. Celebrezze,Democratic,Parma,2012 ( Appt . ),2020
16,Nan Baker,Republican,Westlake,2008,2016
17,Michael Curtin,Democratic,Columbus,2012,2020
18,Michael Stinziano,Democratic,Columbus,2010,2018
19,Anne Gonzales,Republican,Columbus,2010,2018
20,Heather Bishoff,Democratic,Blacklick,2012,2020
