Rank,Athlete,Nationality,Time
1,Martin Lel,Kenya,1:00:49
2,Fabiano Joseph,Tanzania,1:00:52
3,Martin Sulle,Tanzania,1:00:56
4,John Cheruiyot Korir,Kenya,1:01:02
5,John Yuda,Tanzania,1:01:13
6,Yusuf Songoka,Kenya,1:01:18
7,Zersenay Tadesse,Eritrea,1:01:26
8,Jackson Koech,Kenya,1:01:28
9,Tesfaye Tola,Ethiopia,1:01:35
10,Ridouane Harroufi,Morocco,1:02:46
11,Dereje Adere,Ethiopia,1:02:47
12,Abderrahim Goumri,Morocco,1:02:59
13,Paulo Gomes,Portugal,1:03:00
14,Kazuyuki Maeda,Japan,1:03:07
15,Wilson Busienei,Uganda,1:03:08
16,Mesfin Hailu,Ethiopia,1:03:12
17,Tariku Jufar,Ethiopia,1:03:23
18,Rachid Aït Bensalem,Morocco,1:03:37
19,Abdelghani Lahlali,France,1:03:37
20,Oscar Fernández,Spain,1:03:41
