Year,MVC Champion,Score,Runner-up,Tournament MVP,Venue ( and city )
1977,Southern Illinois,82-69,West Texas State,None Selected,"Levitt Arena ( Wichita , Kansas )"
1978,Creighton,54-52,Indiana State,None Selected,"Civic Auditorium ( Omaha , Nebraska )"
1979,Indiana State,69-59,New Mexico State,None Selected,"Hulman Center ( Terre Haute , Indiana )"
1980,Bradley,62-59,West Texas State,None Selected,"Robertson Memorial Field House ( Peoria , Illinois )"
1981,Creighton,70-64,Wichita State,None Selected,"Levitt Arena ( Wichita , Kansas )"
1982,Tulsa,90-77,Illinois State,None Selected,"Tulsa Convention Center ( Tulsa , Oklahoma )"
1983,Illinois State,84-64,Tulsa,None Selected,"Horton Fieldhouse ( Normal , Illinois )"
1984,Tulsa,70-68 ( OT ),Creighton,None Selected,"Tulsa Convention Center ( Tulsa , Oklahoma )"
1985,Wichita State,84-82,Tulsa,None Selected,"Tulsa Convention Center ( Tulsa , Oklahoma )"
1986,Tulsa,74-58,Bradley,"Brian Rahilly , Tulsa","Tulsa Convention Center ( Tulsa , Oklahoma )"
1987,Wichita State,79-74 ( OT ),Tulsa,"Gary Cundiff , Wichita State","Tulsa Convention Center ( Tulsa , Oklahoma )"
1988,Bradley,83-59,Illinois State,"Hersey Hawkins , Bradley","Carver Arena ( Peoria , Illinois )"
1989,Creighton,79-77,Southern Illinois,"Chad Gallagher , Creighton","Levitt Arena ( Wichita , Kansas )"
1990,Illinois State,81-78,Southern Illinois,"Rickey Jackson , Illinois State","Redbird Arena ( Normal , Illinois )"
1991,Creighton,68-52,Missouri State,"Bob Harstad , Creighton","Kiel Auditorium ( St. Louis , Missouri )"
1992,Missouri State,71-68,Tulsa,"Jackie Crawford , Missouri State","St. Louis Arena ( St. Louis , Missouri )"
1993,Southern Illinois,70-59,Illinois State,"Ashraf Amaya , Southern Illinois","St. Louis Arena ( St. Louis , Missouri )"
1994,Southern Illinois,77-74,Northern Iowa,"Cam Johnson , Northern Iowa","St. Louis Arena ( St. Louis , Missouri )"
1995,Southern Illinois,77-62,Tulsa,"Chris Carr , Southern Illinois","Kiel Center ( St. Louis , Missouri )"
1996,Tulsa,60-46,Bradley,"Shea Seals , Tulsa","Kiel Center ( St. Louis , Missouri )"
