,Name on the Register,Date listed,Location,City or town
1,Center Ridge Cemetery,"August 8 , 2018 ( # 100002499 )",704 W. Johnson St. 39°05′32″N 87°25′20″W / 39.0922°N 87.4223°W / 39.0922 ; -87.4223 ( Center Ridge Cemetery ),Hamilton Township
2,Daugherty-Monroe Archaeological Site ( 12SU13 ),"June 12 , 1985 ( # 85001246 )",Northern half of Section 21 Town 8 North Range 11 West 39°07′30″N 87°38′22″W / 39.125000°N 87.639444°W / 39.125000 ; -87.639444 ( Daugherty-Monroe Archaeological Site ( 12SU13 ) ),Turman Township
3,Merom Site and Fort Azatlan,"May 12 , 1975 ( # 75000052 )",North of Merom 39°03′45″N 87°34′12″W / 39.062500°N 87.570000°W / 39.062500 ; -87.570000 ( Merom Site and Fort Azatlan ),Gill Township and Merom
4,Merom-Gill Township Carnegie Library,"March 11 , 2019 ( # 100003512 )",8554 Market St. 39°03′23″N 87°33′54″W / 39.0565°N 87.5649°W / 39.0565 ; -87.5649 ( Merom-Gill Township Carnegie Library ),Merom
5,Shakamak State Park Historic District,"March 15 , 2000 ( # 00000199 )","6265 W. State Road 48 , west of Jasonville 39°10′35″N 87°14′04″W / 39.176250°N 87.234500°W / 39.176250 ; -87.234500 ( Shakamak State Park Historic District )",Jackson Township
6,Shelburn Interurban Depot-THI & E Interurban Depot,"December 15 , 2015 ( # 15000890 )",3 N. Railroad St. 39°10′40″N 87°23′39″W / 39.177778°N 87.394028°W / 39.177778 ; -87.394028 ( Shelburn Interurban Depot-THI & E Interurban Depot ),Shelburn
7,Sherman Building,"September 22 , 1986 ( # 86002712 )",2-4 S. Court St. 39°05′43″N 87°24′31″W / 39.095278°N 87.408611°W / 39.095278 ; -87.408611 ( Sherman Building ),Sullivan
8,Sullivan County Courthouse,"December 22 , 2008 ( # 08001213 )",100 Courthouse Square 39°05′42″N 87°24′28″W / 39.094903°N 87.407750°W / 39.094903 ; -87.407750 ( Sullivan County Courthouse ),Sullivan
9,Sullivan Courthouse Square Historic District,"September 4 , 2018 ( # 100002867 )","Roughly bounded by Section , Wall , State , and Harris Sts . 39°05′40″N 87°24′30″W / 39.094444°N 87.408333°W / 39.094444 ; -87.408333 ( Sullivan Courthouse Square Historic District )",Sullivan
10,Sullivan County Poor Home,"March 15 , 2000 ( # 00000207 )","1447 County Road 75N , east of Sullivan 39°05′51″N 87°22′57″W / 39.0975°N 87.3825°W / 39.0975 ; -87.3825 ( Sullivan County Poor Home )",Hamilton Township
11,Union Christian College,"June 25 , 1982 ( # 82000076 )",3rd and Philip Sts . 39°03′03″N 87°33′53″W / 39.050833°N 87.564722°W / 39.050833 ; -87.564722 ( Union Christian College ),Merom
