,Name on the Register,Date listed,Location,City or town
1,Anderson House,"September 29 , 1976 ( # 76000657 )",GA 44 33°52′05″N 82°39′10″W / 33.868°N 82.6527°W / 33.868 ; -82.6527 ( Anderson House ),Danburg
2,Arnold-Callaway Plantation,"April 11 , 1972 ( # 72000402 )",NW of Washington on U.S. 78 33°46′27″N 82°48′46″W / 33.774167°N 82.812778°W / 33.774167 ; -82.812778 ( Arnold-Callaway Plantation ),Washington
3,Campbell-Jordan House,"July 14 , 1971 ( # 71000288 )",208 Liberty St. 33°44′01″N 82°44′15″W / 33.733611°N 82.7375°W / 33.733611 ; -82.7375 ( Campbell-Jordan House ),Washington
4,The Cedars,"April 11 , 1972 ( # 72000403 )",210 Sims St. 33°44′29″N 82°44′19″W / 33.741389°N 82.738611°W / 33.741389 ; -82.738611 ( The Cedars ),Washington
5,James and Cunningham Daniel House,"November 24 , 1980 ( # 80001266 )",S of Rayle on Bartram Trace Rd . 33°40′59″N 82°54′35″W / 33.683056°N 82.909722°W / 33.683056 ; -82.909722 ( James and Cunningham Daniel House ),Rayle
6,East Robert Toombs Historic District,"April 11 , 1972 ( # 72000404 )",East Robert Toombs Ave. between Alexander Ave. and Grove St. 33°44′12″N 82°44′12″W / 33.736667°N 82.736667°W / 33.736667 ; -82.736667 ( East Robert Toombs Historic District ),Washington
7,Fitzpatrick Hotel,"December 17 , 1982 ( # 82000147 )",18 W. Public Square 33°44′14″N 82°44′24″W / 33.737222°N 82.74°W / 33.737222 ; -82.74 ( Fitzpatrick Hotel ),Washington
8,Gartrell Family House,"June 14 , 2002 ( # 02000629 )",854 Boyd Rd . 33°55′28″N 82°46′24″W / 33.924444°N 82.773333°W / 33.924444 ; -82.773333 ( Gartrell Family House ),Tignall
9,Gilbert-Alexander House,"April 11 , 1972 ( # 72000405 )",116 Alexander Dr. 33°44′28″N 82°44′14″W / 33.741111°N 82.737222°W / 33.741111 ; -82.737222 ( Gilbert-Alexander House ),Washington
10,Thomas M. Gilmer House,"November 2 , 1977 ( # 77001540 )",5 miles ( 8.0 km ) W of Washington on U.S. 78 33°58′38″N 82°50′07″W / 33.977222°N 82.835278°W / 33.977222 ; -82.835278 ( Thomas M. Gilmer House ),Washington
11,Holly Court,"April 11 , 1972 ( # 72000406 )",301 S. Alexander St. 33°44′00″N 82°44′12″W / 33.733333°N 82.736667°W / 33.733333 ; -82.736667 ( Holly Court ),Washington
12,Kettle Creek Battlefield,"June 26 , 1975 ( # 75000617 )",9 miles ( 14 km ) SW of Washington off Tyrone Rd . 33°41′26″N 82°53′11″W / 33.690556°N 82.886389°W / 33.690556 ; -82.886389 ( Kettle Creek Battlefield ),Washington
13,Mary Willis Library,"April 11 , 1972 ( # 72000407 )",204 E. Liberty ( at S. Jefferson St. ) 33°44′07″N 82°44′17″W / 33.735278°N 82.738056°W / 33.735278 ; -82.738056 ( Mary Willis Library ),Washington
14,North Washington District,"March 7 , 1973 ( # 73000649 )","Bounded by Jefferson and Court Sts. , Poplar Dr. , and U.S. 78 33°44′40″N 82°44′22″W / 33.744444°N 82.739444°W / 33.744444 ; -82.739444 ( North Washington District )",Washington
15,Old Jail,"June 5 , 1974 ( # 74000706 )",103 Court St. 33°44′20″N 82°44′28″W / 33.738889°N 82.741111°W / 33.738889 ; -82.741111 ( Old Jail ),Washington
16,Peacewood,"April 11 , 1972 ( # 72000408 )",120 Tignall Rd . 33°45′20″N 82°44′08″W / 33.755556°N 82.735556°W / 33.755556 ; -82.735556 ( Peacewood ),Washington
17,Pharr-Callaway-Sethness House,"March 26 , 1976 ( # 76000659 )",N of Tignall on GA 2193 33°56′14″N 82°44′12″W / 33.937222°N 82.736667°W / 33.937222 ; -82.736667 ( Pharr-Callaway-Sethness House ),Tignall
18,Poplar Corner,"April 11 , 1972 ( # 72000409 )",210 W. Liberty St. 33°44′03″N 82°44′35″W / 33.734167°N 82.743056°W / 33.734167 ; -82.743056 ( Poplar Corner ),Washington
19,Robert Shand Smith House,"November 7 , 2002 ( # 02001294 )",902 S. Spring St. 33°43′33″N 82°44′35″W / 33.725833°N 82.743056°W / 33.725833 ; -82.743056 ( Robert Shand Smith House ),Washington
20,Robert Toombs House,"April 11 , 1972 ( # 72000410 )",216 E. Robert Toombs Ave. 33°44′10″N 82°44′02″W / 33.73616°N 82.73387°W / 33.73616 ; -82.73387 ( Robert Toombs House ),Washington
