Country,Local title,Original channel,Premiere date
Brazil,De Férias com o Ex,MTV,13 October 2016
Denmark,Ex on the Beach,Kanal 4,20 August 2018
Finland,Exiä rannalla,Sub,7 September 2016
France,La Revanche des ex,NRJ 12,22 August 2016
Hungary,Exek az Édenben,Viasat 3,18 April 2017
Italy,Ex on the Beach,MTV,26 September 2018
Mexico,La Venganza de los Ex,MTV,21 August 2018
Netherlands Belgium,Ex on the Beach : Double Dutch !,MTV,28 August 2016
Norway,Ex on the Beach,TVNorge,14 August 2018
Poland,Ex on the Beach,MTV,7 November 2016
Russia,Экс на пляже,Friday !,7 November 2016
Sweden,Ex on the Beach,Kanal 5,6 April 2016
United States,Ex on the Beach,MTV,19 April 2018
