House,Founding Year,Location,Cuvée,Company
Abelé,1757,Reims,Sourire de Reims,Freixenet
AR Lenoble,1920,Damery,Brut Intense Les Aventures,Family Owned
Ayala,1860,Ay,Grande Cuvée ( Vintage ),Société Jacques Bollinger
Billecart-Salmon,1818,Mareuil-sur-Ay,Brut Réserve Clos St Hilare,Independent
Binet,1849,Reims,Brut Elite Elite Rosé ( Rosé de saignée ) Elite Blanc de Noirs Médaillon Rouge ( Vintage ),Independent
Boizel,1834,Épernay,Joyau de France ( Vintage ),Lanson-BCC
Bollinger,1829,Ay,Vieilles Vignes Françaises ( Vintage ) R.D . ( Récemment Dégorgé ) ( Vintage ),Société Jacques Bollinger
Boulard,1952,La Neuville-aux-Larris,,Findlater
Brice,1994,Bouzy,,Independent
Brun,1898,Ay,,Independent
Bruno Paillard,1981,Reims,Nec Plus Ultra ( Vintage ) brut première cuvée ( Vintage ),Independent
Burtin - Besserat de Bellefon,1843,Épernay,Cuvée des Moines,Lanson-BCC
Canard-Duchêne,1868,Ludes,Grande Cuvée Charles VII,Groupe Thiénot
Cattier,1918,Chigny-les-Roses,Clos du Moulin,Independent
Chanoine Frères,1730,Reims,Gamme Tsarine,Lanson-BCC
Charles Heidsieck,1851,Reims,Blanc des Millénaires ( Vintage ),EPI
Veuve Cheurlin,1919,Celles-sur-Ource,,Independent
Cheurlin,1788,Celles-sur-Ource,Brut Spéciale Rosé de Saignée,Independent
Cheurlin Thomas,1788,Celles-sur-Ource,Blanc de Blanc - Célébrité Blanc de Noir - Le Champion,Independent
Comte de Dampierre,1880,Chenay,,Independent
