Track,City,State,Opened,Major series,Length
Autódromo Hermanos Rodriguez,Mexico City,,1962,"NTS , Mexican F3",1.00 mile ( 1.61 km )
Autódromo Monterrey,Apodaca,Nuevo León,1970,NTS,1.00 mile ( 1.61 km )
Trióvalo Bernardo Obregón,Guadalajara,Jalisco,1991,"NTS , Mexican F3",0.857 miles ( 1.379 km )
Autódromo Potosino,Zaragoza,San Luis Potosí,2005,NTS,0.5 miles ( 0.80 km )
Autódromo Miguel E. Abed,Amozoc,Puebla,2005,NTS,1.25 miles ( 2.01 km )
Autódromo Chiapas,Berriozábal,Chiapas,2008,NTS,0.75 miles ( 1.21 km )
Ovalo Aguascalientes México,Aguascalientes,Aguascalientes,2009,NTS,0.875 miles ( 1.408 km )
Autódromo de Querétaro,El Marqués,Querétaro,2009,NTS,0.797 miles ( 1.283 km )
Autódromo El Dorado,Aldama,Chihuahua,2012,NTS,
Autódromo La Cantera,Chihuahua,,Under construction,,0.5 miles ( 0.80 km )
Autódromo Playa del Águila,Lázaro Cárdenas,,Under construction,,0.5 miles ( 0.80 km )
