Commissioner,Portfolio,State,Party
Barroso José Manuel Barroso,President,Portugal,EPP National : PSD
Wallstrom Margot Wallström,Institutional Relations First Vice-President ; Institutional Relations and Communication Strategy,Sweden,PES National : SAP
Verheugen Günter Verheugen,Enterprise and Industry Vice-President ; Enterprise and Industry,Germany,PES National : SPD
Frattini Franco Frattini,"Justice , Freedom and Security Vice-President ; Justice , Freedom and Security",Italy,EPP National : PDL
Tajani Antonio Tajani,Transport Vice-President ; Transport,Italy,EPP National : PDL
Barrot Jacques Barrot,"Justice , Freedom and Security Vice-President ; Justice , Freedom and Security",France,EPP National : UMP
Kallas Siim Kallas,"Administrative Affairs , Audit and Anti-Fraud Vice-President ; Administrative Affairs , Audit and Anti-Fraud",Estonia,ALDE National : Reform
Almunia Joaquín Almunia,Economic and Financial Affairs,Spain,PES National : PSOE
McCreevy Charlie McCreevy,Internal Market and Services,Ireland,ALDE National : FF
Fischer Boel Mariann Fischer Boel,Agriculture and Rural Development,Denmark,ALDE National : Venstre
Kroes Neelie Kroes,Competition,Netherlands,ALDE National : VVD
Mandelson Peter Mandelson,Trade,United Kingdom,PES National : Labour
Ashton Catherine Ashton,Trade,United Kingdom,PES National : Labour
Borg Joe Borg,Fisheries and Maritime Affairs,Malta,EPP National : PN
Dimas Stavros Dimas,Environment,Greece,EPP National : ND
Kyprianou Markos Kyprianou,Health,Cyprus,ALDE National : DIKO
Vasiliou Androulla Vassiliou,Health,Cyprus,ALDE National : EDI
Michel Louis Michel,Development and Humanitarian Aid,Belgium,ALDE National : MR
Gucht Karel De Gucht,Development and Humanitarian Aid,Belgium,ALDE National : Open VLD
Rehn Olli Rehn,Enlargement,Finland,ALDE National : Keskusta
