Title,Artist,Released,Peak,Weeks
Music for the Jilted Generation,The Prodigy,1994,1,149
War,U2,1983,1,148
Every Kingdom,Ben Howard,2011,4,148
The Very Best of the Bee Gees,Bee Gees,1990,6,147
Life thru a Lens,Robbie Williams,1997,1,147
No Angel,Dido,2000,1,147
The Script,The Script,2008,1,146
Hunky Dory,David Bowie,1972,3,145
Frank,Amy Winehouse,2003,3,145
Final Straw,Snow Patrol,2004,3,144
The Seldom Seen Kid,Elbow,2008,5,144
The Phantom of the Opera,Original Cast,1987,1,143
Halcyon,Ellie Goulding,2012,1,143
The Black and White Minstrel Show,George Mitchell Minstrels,1960,1,142
Decade in the Sun : Best of Stereophonics,Stereophonics,2008,2,142
Slippery When Wet,Bon Jovi,1986,6,141
Sunny Side Up,Paolo Nutini,2009,1,141
Hybrid Theory,Linkin Park,2001,4,141
Greatest Hits,Eurythmics,1991,1,140
The Colour of My Love,Celine Dion,1994,1,140
