Original NFL team,Player,Pos,College,Conf
Baltimore Colts,Ron LaPointe,TE,Penn State,Ind
Buffalo Bills,John Misko,P,Oregon State,Pac-10
Cincinnati Bengals,M. L. Harris,TE,Kansas State,Big Eight
Cincinnati Bengals,Blake Moore,C,Wooster,OAC
Cleveland Browns,Marshall Harris,DT,Texas Christian,SWC
Cleveland Browns,Joel Patten,OT,Duke,ACC
Dallas Cowboys,Dextor Clinkscale,S,South Carolina State,MEAC
Dallas Cowboys,Anthony Dickerson,LB,SMU,SWC
Dallas Cowboys,Don Smerek,DE,Nevada,Big Sky
Denver Broncos,Jeff Knapple,QB,Northern Colorado,Ind . ( Div . II )
Detroit Lions,Alvin Hall,S,Miami,MAC
Green Bay Packers,Mark Murphy,S,West Liberty,WVIAC
Houston Oilers,Adger Armstrong,FB,Texas A & M,SWC
Kansas City Chiefs,Donovan Rose,DB,Hampton,CIAA
Los Angeles Rams,Walt Arnold,TE,New Mexico,WAC
Los Angeles Rams,Lucious Smith,CB,Cal State,Big West
Los Angeles Rams,Kurt Sohn,WR,Fordham,Ind . ( Div . III )
New Orleans Saints,Mike Augustyniak,FB,Purdue,Big Ten
New York Giants,Phil Cancik,LB,Northern Arizona,Big Sky
New York Giants,Mike Dennis,DB,Wyoming,WAC
