#,Title,Studio,Star ( s ),Year,Director ( s )
1,The Milky Way,MGM,,1940,Rudolf Ising
2,The Yankee Doodle Mouse,MGM,Tom and Jerry,1943,William Hanna Joseph Barbera
3,Mouse Trouble,MGM,Tom and Jerry,1944,William Hanna Joseph Barbera
4,Quiet Please !,MGM,"Tom and Jerry , Spike",1945,William Hanna Joseph Barbera
5,The Cat Concerto,MGM,Tom and Jerry,1947,William Hanna Joseph Barbera
6,Tweetie Pie,Warner Bros,"Sylvester , Tweety",1947,Friz Freleng
7,The Little Orphan,MGM,"Tom and Jerry , Tuffy",1949,William Hanna Joseph Barbera
8,For Scent-imental Reasons,Warner Bros,"Pepé Le Pew , Penelope Pussycat",1949,Chuck Jones
9,So Much for So Little,Warner Bros,,1949,Chuck Jones
10,The Two Mouseketeers,MGM,"Tom and Jerry , Tuffy",1952,William Hanna Joseph Barbera
11,Johann Mouse,MGM,Tom and Jerry,1953,William Hanna Joseph Barbera
12,Speedy Gonzales,Warner Bros,Speedy Gonzales Sylvester,1955,Friz Freleng
13,Birds Anonymous,Warner Bros,"Sylvester , Tweety , Clarence Cat",1957,Friz Freleng
14,Knighty Knight Bugs,Warner Bros,Bugs Bunny Yosemite Sam,1958,Friz Freleng
15,The Dot and the Line,MGM,,1965,Chuck Jones Maurice Noble ( co-director )
