Pick,Player,Position,Nationality,Team,College/From
1,Corsley Edwards,C-PF,United States,Anaheim Arsenal,CB Granada Spain
2,Andre Brown,C-PF,United States,Sioux Falls Skyforce,Inchon ET Land Black Slamer
3,Mike Harris,SF,United States,Colorado 14ers,Milwaukee Bucks ( preseason )
4,Kevin Burleson,PG,United States,Fort Worth Flyers,Charlotte Bobcats
5,Justin Williams,PF-C,United States,Dakota Wizards,Wyoming
6,Matt Haryasz,C-PF,United States,Arkansas RimRockers,Stanford
7,Devin Green,SG-SF,United States,Los Angeles D-Fenders,Los Angeles Lakers
8,Denham Brown,SG-SF,Canada,Tulsa 66ers,Connecticut
9,PJ Ramos,C,Puerto Rico,Idaho Stampede,Roanoke Dazzle ( NBA D-League )
10,"Darius Washington , Jr",PG/SG,United States,Austin Toros,ČEZ Nymburk
11,Brandon Bowman,SF,United States,Bakersfield Jam,Georgetown
12,Troy Bell,PG,United States,New Mexico Thunderbirds,Skyliners Frankfurt ( Germany )
