No,Year,Tournament,Opponent ( s ),Result
1,1975,Greater Ft. Myers Classic,Sandra Haynie,Lost to par on second extra hole
2,1976,Girl Talk Classic,Bonnie Lauer Sandra Post Judy Rankin,Won with par on second extra hole Lauer and Post eliminated with birdie on first hole
3,1976,Wheeling Classic,Jane Blalock,Lost to par on first extra hole
4,1983,Columbia Savings Classic,Beth Daniel,Won with birdie on first extra hole
5,1984,Nabisco Dinah Shore,Juli Inkster,Lost to par on first extra hole
6,1985,LPGA National Pro-Am,Amy Alcott,Won with birdie on second extra hole
7,1985,Konica San Jose Classic,Val Skinner,Lost to par on first extra hole
8,1986,du Maurier Classic,Ayako Okamoto,Won with birdie on first extra hole
9,1990,Oldsmobile LPGA Classic,Dale Eggeling,Won with birdie on first extra hole
10,1991,Safeco Classic,Rosie Jones,Won with birdie on second extra hole
