Date,Player,To
"January 1 , 2013",Neil Hlavaty,Edmonton
"February 1 , 2013",Amani Walker,Tampa Bay Rowdies
"March 1 , 2013",Devin Del Do,Tampa Bay Rowdies
"March 1 , 2013",Kyle Altman,Portland Timbers Reserves
April 2013,Fuad Ibrahim,Kajaani
"July 4 , 2013",Kyle Altman,Retired
"July 5 , 2013",Bryan Arguez,Carolina Railhawks
"August 1 , 2013",Etienne Barbara,Tampa Bay Rowdies
2013,Ernest Tchoupe,
2013,Daniel Wasson,Tulsa Athletics
2013,Shawn Chin,VSI Tampa Bay
2013,Andy Lorei,
2013,Martin Nuñez,
2013,Geison Moura,
